ID	TITLE	CREATOR	FORMAT	PUBLICATION DATES	CONTRIBUTORS	PUBLICATION	PHYSICAL DETAILS	ISBNS	OCLC	SERIES	ISSNS	PRECEDING TITLES	SUCCEEDING TITLES	CREDITS	CARTOGRAPHIC DATA	FINDING AIDS
2651	Proceedings of the third workshop, 2005 IEEE Intelligent Data Acquisition and Advanced Computing Systems, Technology and Applications : IDAACS 2005 : Sofia, Bulgaria, September 5-7, 2005		Books		Ternopil's'ka akademii?a? narodnoho hospodarstva Institute of Computer Information Technologies,IEEE Instrumentation and Measurement Society,IEEE Group on Instrumentation & Measurement,	[Place of publication not identified] IEEE 2005		9780780394469, 0780394461								
2652	Machine learning and data mining in pattern recognition : 9th International Conference, MLDM 2013, New York, NY, USA, July 19-25, 2013, proceedings	Petra Perner (ed.)	Books		Perner, Petra,	Berlin ; New York : Springer, [2013] ©2013		3642397123, 9783642397127, 9783642397110	ocn853506100	Lecture notes in computer science. Lecture notes in artificial intelligence,Lecture notes in computer science ; 7988,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,						
2653	Marine geological and geophysical data from the Deep Sea Drilling Project : CD-ROM data set		Computer software		National Geophysical Data Center,Joint Oceanographic Institutions,U.S. Science Support Program,National Science Foundation (U.S.),United States. Office of Science and Technology,National Geophysical and Solar-Terrestrial Data Center,National Centers for Environmental Information (U.S.),	[Washington, D.C.] : National Geophysical Data Center, [1989]			ocm20900449							
2654	Archive of digital boomer seismic reflection data collected during USGS field activity 04SGI01 in the Withlacoochee River of west-central Florida, March 2004	by Karynna Calderon ... [and others]	Computer software		Calderon, Karynna,Geological Survey (U.S.),Florida Integrated Science Center,Center for Aquatic Resource Studies (Geological Survey),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Reston, Va. : U.S. Geological Survey, 2006.			ocn190722836	Data series (Geological Survey (U.S.)) ; no. 119,						
2655	Studies on urban vehicular ad-hoc networks	Hongzi Zhu, Minglu Li	Books		Li, Minglu,	New York, NY : Springer, [2013] ©2013		9781461480488, 1461480485, 9781461480471	ocn852391714	SpringerBriefs in computer science,						
2656	Public elementary and secondary school student enrollment, high school completions, and staff from the Common Core of Data : school year 2005-06	Jennifer Sable, Anthony Garofano	Books		Garofano, Anthony,National Center for Educational Statistics,Institute of Education Sciences (U.S.),United States. Office of Educational Research and Improvement,United States. Department of Education,National Center for Education Statistics,United States. Bureau of Educational Research and Development. Division of Educational Statistics,	Washington, DC : National Center for Education Statistics, Institute of Education Sciences, U.S. Dept. of Education, [2007]			ocn154319821							
2657	Ionospheric data report for Zhongshan Station, Antarctica 1995	Polar Research Institute of China	Books		Chinese National Antarctic Research Expedition,	Shanghai : Shanghai Scientific & Technological Literature Publishing House, 1999.		7543913798, 9787543913790	ocn150663047	CHINARE data report ; no. 11,						
2658	Toward a coordinated spatial data infrastructure for the nation	Mapping Science Committee, Board on Earth Sciences and Resources, Commission on Geosciences, Environment and Resources, National Research Council	Books		Bossler, John D,National Research Council (U.S.). Board on Earth Sciences and Resources,National Research Council (U.S.). Commission on Geosciences, Environment, and Resources,National Research Council (U.S.). Commission on Physical Sciences, Mathematics, and Resources,National Research Council (U.S.). Division on Earth and Life Studies,National Academies of Sciences, Engineering, and Medicine (U.S.). Board on Earth Sciences and Resources,	Washington, DC : National Academy Press, 1993.		9780309048996, 0309048990	ocm28119685							
2659	NSSDC data listing		Journals, Magazines, Newspapers		National Space Science Data Center,World Data Center A for Rockets and Satellites,IGY World Data Center A: Rockets and Satellites,World Data Center for Satellite Information,	Greenbelt, Md. : National Aeronautics and Space Administration, National Space Science Data Center.			ocm08664267							
2660	Innovation, science, environment Canadian policies and performance, 2007-2008	edited by G. Bruce Doern	Books		Doern, G. Bruce,Carleton University. School of Public Policy and Administration,Carleton University. School of Public Administration,	20072008th ed. Montreal ; Ithaca : Published for the School of Public Policy and Administration, Carleton University by McGill-Queen's University Press, c2007.		1282866036, 9786612866036, 0773575561		Innovation, Science, Environment Series,						
2661	Pragmatic inversion of geophysical data	Sven-Erik Hjelt	Books			Berlin ; New York : Springer-Verlag, [1992] ©1992		9780387556222, 0387556222, 9783540556220, 3540556222	ocm26543495	Lecture notes in earth sciences ; 039,						
2662	Database anonymization : privacy models, data utility, and microaggregation-based inter-model connections	Josep Domingo-Ferrer, David Sánchez, and Jordi Soria-Comas	Books		Sánchez, David., author,Soria-Comas, Jordi., author,	[San Rafael, California] Morgan & Claypool, 2016. ©2016		9781627058445, 1627058443, 9781627058438	ocn935806387	Synthesis digital library of engineering and computer science,Synthesis lectures on information security, privacy and trust ; # 15,						
2663	Advances in Chinese computer science	edited by Xu Kongshi	Books		Xu, Kongshi,	Singapore ; Teaneck, N.J. : World Scientific, 1988-		9789971501990, 9971501996, 9789971507916, 9971507919	ocm18560881							
2664	Social science computer review		Journals, Magazines, Newspapers	Vol. 6, no. 1 (spring 1988)-	North Carolina State University. Social Science Research and Instructional Computing Laboratory,	Durham, NC : Duke University Press, [c1988-]			ocm41212955, ocm16077884		0894-4393, 1552-8286	Social science microcomputer review,				
2665	Emerging frameworks and methods : CoLIS 4 : proceedings of the Fourth International Conference on Conceptions of Library and Information Science, Seattle, WA, USA, July 21-25, 2002	organized by the Information School, University of Washington in cooperation with Department of Information Studies, University of Tampere, Finland [and] Royal School of Library and Information Science, Denmark [and] American Society for Information Science and Technology ; editors, Harry Bruce ... [and others]	Books		Bruce, Harry, 1957-,University of Washington. Information School,University of Washington. School of Library and Information Science,	Greenwood Village, Colo. : Libraries Unlimited, 2002.		9781591580164, 1591580161	ocm50035323							
2666	Agents and data mining interaction : 9th International Workshop, ADMI 2013, Saint Paul, MN, USA, May 6-7, 2013, revised selected papers	edited by Longbing Cao [and five others]	Books		Cao, Longbing, 1969- editor,	Berlin : Springer, 2014.		3642551920, 9783642551925, 9783642551918	ocn879327282	Lecture notes in computer science ; 8316,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,						
2667	Data types and data structures	Johannes J. Martin	Books			Englewood Cliffs, N.J. : Prentice-Hall, [1986] ©1986		9780131959835, 0131959832	ocm12215711							
2668	Thermodynamic properties of organic compounds and their mixtures	edited by K.N. Marsh	Books		Marsh, K. N,	Berlin ; New York : Springer, 1995-		9783540588542, 354058854X, 9780387588544, 038758854X	ocm33272517	Numerical data and functional relationships in science and technology. Group IV, Macroscopic properties of matter ; v. 8,						
2669	Science indicators from National Assessment and other sources : National Assessment of Educational Progress	submitted to National Institute of Education ; Thomas L. Hilton ... [and others]	Books		Hilton, Thomas Leonard, 1924-,National Institute of Education (U.S.),Educational Testing Service,Graduate Record Examinations Board,United States. Department of Health, Education, and Welfare,	[Princeton, N.J.] : Educational Testing Service, [1985-]			ocm30467359							
2670	Data architecture from zen to reality	Charles Tupper	Books			Amsterdam ; Boston : Morgan Kaufmann, 2011.		128306975X, 9786613069757, 0123851270	ocn714568473							
2671	Preparing data for analysis		Books		United States. Office of Vocational and Adult Education. Curriculum and Instruction Branch,Consumer Dynamics, inc,	[Washington, D.C.?] : U.S. Dept. of Education, Office of Vocational and Adult Education, [1981?]			ocm09580004	Vocational education [sic] training in environmental health sciences ; module 19,						
2672	Knowledge discovery, knowledge engineering and knowledge management : 7th International Joint Conference, IC3K 2015, Lisbon, Portugal, November 12-14, 2015, Revised selected papers	Ana Fred, Jan L.G. Dietz, David Aveiro, Kecheng Liu, Joaquim Filipe (eds.)	Books		Fred, Ana, editor,Dietz, Jan L. G., editor,Aveiro, David, editor,Liu, Kecheng, 1957- editor,Filipe, Joaquim, editor,	Cham, Switzerland : Springer, 2016.		9783319527581, 3319527584, 9783319527574	ocn970655434	Communications in computer and information science ; 631,						
2673	Public transportation : marketing, fare policy, and transformative data trends. Volume 6		Books		National Academies of Sciences, Engineering, and Medicine (U.S.),National Research Council (U.S.). Transportation Research Board,National Research Council (U.S.). Transportation Research Board. Public Transportation Group,National Research Council (U.S.). Transportation Research Board. Standing Committee on Public Transportation Marketing and Fare Policy,National Academy of Sciences (U.S.),National Research Council (U.S.). Commission on Sociotechnical Systems,National Research Council (U.S.). Division of Engineering and Industrial Research,National Science Foundation (U.S.),National Research Council (U.S.). Highway Research Board,National Academies of Sciences, Engineering, and Medicine (U.S.). Transportation Research Board,National Academies (U.S.),National Research Council (U.S.),	[Washington, D.C.] : Transportation Research Board, 2015.		9780309369480, 0309369487	ocn944120318	Transportation research record ; 2538,						
2674	Advances in data mining: medical applications, E-commerce, marketing, and theoretical aspects : 8th industrial conference, ICDM 2008, Leipzig, Germany, July 16-18, 2008 : proceedings	Petra Perner (ed.)	Books		Perner, Petra,SpringerLink (Online service),LINK (Online service),	Berlin ; New York : Springer, [2008] ©2008		3540707174, 9783540707172	ocn236502868	Lecture notes in computer science ; 5077,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,						
2675	Database design for smarties : using UML for data modeling	Robert J. Muller	Books			San Francisco : Morgan Kaufmann Publishers, [1999] ©1999		9781558605152, 1558605150	ocm40467429							
2676	AI 2016: Advances in Artificial Intelligence : 28th Australasian Joint Conference, Hobart, TAS, Australia, December 5-8, 2016 : proceedings	Byeong Ho Kang, Quan Bai (eds.)	Books		Kang, Byeong-Ho, editor,Bai, Quan, editor,	Cham, Switzerland : Springer, [2016] Cham, Switzerland : Springer, [2016]		9783319501277, 3319501275, 9783319501260, 3319501267	ocn965491917	Lecture notes in computer science ; 9992,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,						
2677	ACM ... annual Computer Science Conference		Journals, Magazines, Newspapers	12th (1984)-	Association for Computing Machinery,	New York, N.Y. : Association for Computing Machinery, c1984-			ocm12167192, ocm44278549		1041-4517, 1557-9433	Proceedings of the ACM Computer Science Conference,	Proceedings,			
2678	The Computer science problem solver : a complete solution guide to any textbook	staff of Research and Education Association ; M. Fogiel, chief editor	Books		Fogiel, M. (Max),Research and Education Association,	Revised printing. Piscataway, N.J. : The Association, 1991. ©1981		9780878915255, 0878915257	ocm25134112	REA's problem solvers,						
2679	Beyond mapping : meeting national needs through enhanced geographic information science	Committee on Beyond Mapping: The Challenges of New Technologies in the Geographic Information Sciences, the Mapping Science Committee, Board on Earth Sciences and Resources, Division on Earth and Life Studies, National Research Council of the National Academies	Books		National Research Council (U.S.). Mapping Science Committee,	Washington, DC : National Academies Press, [2006] ©2006		9780309661508, 0309661501, 9780309102261, 030910226X, 0309661501	ocn560378024							
2680	U.S. global change research programs data collection and scientific priorities : hearing before the Committee on Science, U.S. House of Representatives, One Hundred Fourth Congress, second session, March 6, 1996		Books			Washington : U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office, 1996.										
2681	The need for privacy protections : is industry self-regulation adequate? : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Twelfth Congress, second session, June 28, 2012		Books; Microforms			[Washington, D.C.] : U.S. Government Printing Office, [2013]			ocn864442193	S. hrg. ; 112-785,						
2682	Neural-based orthogonal data fitting : the EXIN neural networks	Giansalvo Cirrincione, Maurizio Cirrincione	Books		Cirrincione, Maurizio, 1961-,	Hoboken, N.J. : Wiley, [2010] ©2010		9780470638286, 0470638281, 9780470638279, 0470638273, 9780471322702, 0471322709	ocn715365110	Adaptive and learning systems for signal processing, communications, and control,						
2683	The use of maps in the exploration of geographic data	Corné P.J.M. van Elzakker	Books			Utrecht : Koninklijk Nederlands Aardrijkskundig Genootschap, Faculteit Geowetenschappen, Universiteit Utrecht : International Institute for Geo-Information Science and Earth Observation, 2004.		9789068093575, 9068093576	ocm61691164	Nederlandse geografische studies; 326,						
2684	Climate data records from environmental satellites	Committee on Climate Data Records from NOAA Operational Satellites, Board on Atmospheric Sciences and Climate, Division on Earth and Life Studies, National Research Council of the National Academies	Books		National Research Council (U.S.). Committee on Climate Data Records from NOAA Operational Satellites,	Washington, D.C. : National Academies Press, [2004] ©2004		0309530806, 9780309530804, 0309091683, 9780309091688	ocm57030369							
2685	Disaster survival guide for business communications networks : strategies for planning, response and recovery in data and telecom systems	by Richard Grigonis	Books			New York, NY : CMP Books ; Berkeley, CA : Publishers Group West [distributor], [2002] ©2002		9781578201174, 1578201179	ocm50721750							
2686	Pesticide, nutrient, water-discharge and physical-property data for the Mississippi River and some of its tributaries, April 1991-September 1992	by R.H. Coupe ... [and others]	Books		Coupe, Richard H. (Richard Henry), 1954-,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Denver, Colo. : U.S. Geological Survey : Earth Science Information Center, Open-File Reports Section [distributor], 1995.			ocm36518354	U.S. Geological Survey open-file report ; 93-657,						
2687	Data structures in ANSI C	Saumyendra Sengupta, Paul Edwards	Books		Edwards, Paul, 1941-,	San Diego : Academic Press, [1991] ©1991		9780126366556, 0126366551	ocm21197093							
2688	Data communication systems and their performance : proceedings of the IFIP TC6 Fourth International Conference on Data Communication Systems and Their Performance, Barcelona, Spain, 20-22 June 1990	edited by Guy Pujolle, Ramon Puigjaner	Books		Pujolle, G., 1949-,Puigjaner, Ramon,International Federation for Information Processing. Technical Committee 6,	Amsterdam ; New York : North-Holland ; New York, N.Y., U.S.A. : Distributors for the U.S. and Canada, Elsevier Science Pub. Co., 1991.		9780444887566, 0444887563	ocm22662762							
2689	Physical education, exercise, and sport science in a changing society	by William H. Freeman, PhD, Campbell University, Buies Creek, North Carolina	Books			Eighth edition. Burlington, MA : Jones & Bartlett Learning, [2015]		9781284034080, 1284034089, 9781449691042, 1449691048	ocn848393319							
2690	Performing data analysis using IBM SPSS	Lawrence S. Meyers, Glenn C. Gamst, A. J. Guarino	Books		Gamst, Glenn C,Guarino, A. J,	Hoboken, N.J. : Wiley, c2013.		9781118363560, 1118363566	ocn853364676							
2691	Replicated data management for mobile computing	Douglas B. Terry	Books		Morgan & Claypool Publishers,	[San Rafael, Calif.] : Morgan & Claypool Publishers, [2008] ©2008		9781598292039, 159829203X, 9781598292022, 1598292021	ocn228154516	Synthesis lectures on mobile and pervasive computing ; #5,						
2692	Annals of Data Science		Journals, Magazines, Newspapers			Springer Berlin Heidelberg					2198-5812					
2693	Information roundup : a continuing education session on microforms and data processing in the library and information center : costs/benefits/history/trends : proceedings of the 4th ASIS mid-year meeting, Portland, Oregon, May 15-17, 1975	edited by Frances G. Spigai, Theodore C. W. Grams, Julie Kawabata	Books		Grams, Theodore C. W. (Theodore Carl William), 1918-,Spigai, Frances G,Kawabata, Julie,	Washington : The Society, 1975.		9780877151128, 0877151121	ocm02090849							
2694	Social computing : second International Conference of Young Computer Scientists, Engineers and Educators, ICYCSEE 2016, Harbin, China, August 20-22, 2016, Proceedings. Part II	Wanxiang Che, Qilong Han, Hongzhi Wang, Weipeng Jing, Shaoliang Peng, Junyu Lin, Guanglu Sun, Xianhua Song, Hongtao Song, Zeguang Lu (eds.)	Books		Che, Wanxiang, editor,Han, Qilong, editor,Wang, Hongzhi, editor,Jing, Weipeng (Computer engineer), editor,Peng, Shaoliang, editor,Lin, Junyu, editor,Sun, Guanglu, editor,Song, Xianhua, editor,Song, Hongtao, editor,Lu, Zeguang, editor,Wang, Hung-chih,	Singapore : Springer, 2016.		9789811020988, 9811020981, 9789811020971	ocn954718640	Communications in computer and information science ; 624,						
2695	Business processes : a database perspective	Daniel Deutch, Tova Milo	Books		Milo, Tova,	[San Rafael, Calif.] : Morgan & Claypool, [2012] ©2012		9781608459032, 1608459039, 9781608459025	ocn801682228	Synthesis lectures on data management ; #27,						
2696	Data and applications security and privacy XXVII : 27th Annual IFIP WG 11.3 Conference, DBSec 2013, Newark, NJ, USA, July 15-17, 2013, proceedings	Lingyu Wang, Basit Shafiq (eds.)	Books		Shafiq, Basit,Wang, Lingyu,	Berlin : Springer, 2013.		3642392563, 9783642392566, 9783642392559	ocn853119413	Lecture notes in computer science ; 7964,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,						
2697	Parallel and distributed processing and applications : international symposium, ISPA 2003, Aizu-Wakamatsu, Japan, July 2-4, 2003 : proceedings	Minyi Guo, Laurence Tianruo Yang (eds.)	Books		Guo, Minyi,Yang, Laurence Tianruo,	Berlin ; New York : Springer, [2003] ©2003		9783540405238, 3540405232	ocm52494055	Lecture notes in computer science. 2745,						
2698	DDA-nyt		Journals, Magazines, Newspapers	Nr. 1 (juli 1976)-Nr. 80		København : Dansk data arkiv, 1976-1999.			ocm08611424		0105-3272					
2699	Journal of computer science & technology		Journals, Magazines, Newspapers	Began with 1st issue (Mar. 1999)	Iberoamerican Science & Technology Education Consortium,	La Plata, Argentina : ISTEC			ocm82452035		1666-6038					
2700	Science and pseudoscience in clinical psychology	edited by Scott O. Lilienfeld, Steven Jay Lynn, Jeffrey M. Lohr ; foreword by Carol Tavris	Books		Lilienfeld, Scott O., 1960-,Lynn, Steven J,Lohr, Jeffrey M,	New York : Guilford Press, [2003] ©2003		1572308281, 9781572308282, 1593850700, 9781593850708	ocm50554298							
2701	Systems analysis and design	Elias M. Awad	Books			Homewood, Ill. : R. D. Irwin, 1979.		9780256020915, 0256020914	ocm05195344	Irwin series in information and decision sciences,						
2702	Data structures and network algorithms	Robert Endre Tarjan	Books		Society for Industrial and Applied Mathematics,	Philadelphia, Pa. : Society for Industrial and Applied Mathematics (SIAM, 3600 Market Street, Floor 6, Philadelphia, PA 19104), 1983.		9781611970265, 0898711878, 9780898711875		CBMS-NSF regional conference series in applied mathematics ; 44,						
2703	Formal techniques in real-time and fault-tolerant systems : 4th international symposium, Uppsala, Sweden, September 9-13, 1996 : proceedings	Bengt Jonsson, Joachim Parrow, eds	Books		Jonsson, Bengt, 1957-,Parrow, Joachim, 1956-,	Berlin ; New York : Springer, [1996] ©1996		9783540616481, 3540616489	ocm35269969	Lecture notes in computer science ; 1135,						
2704	Development of a statewide system for computer processing of hydrogeological data	by M. K. Botz	Books		Montana College of Mineral Science and Technology,Montana University Joint Water Resources Research Center,Montana School of Mines,Montana Tech of the University of Montana,Montana University System. Water Center,	Butte : Montana College of Mineral Science and Technology, 1970.			ocm00622444	Special publication (Montana Bureau of Mines and Geology) ; 49,						
2705	Missing data : a gentle introduction	Patrick E. McKnight ... [and others]	Books		McKnight, Patrick E,	New York : Guilford Press, [2007] ©2007		1593853939, 9781593853938, 1593853947, 9781593853945	ocm80460259	Methodology in the social sciences,						
2706	Earth observing system. Volume III, Algorithm summary tables and non-EOS data products : output data products and input requirements		Books		United States. National Aeronautics and Space Administration,United States. National Advisory Committee for Aeronautics,United States. National Aeronautics and Space Council,	[Greenbelt, MD] : Science Processing Support Office (SPSO), Goddard Space Flight Center ; [Springfield, Va. :] : [National Technical Information Service, distributor], [1992]			ocm30441961	NASA technical memorandum ; 108769,						
2707	CSU ASTEX surface data sets from Porto Santo (June 1-28, 1992)	S. Cox ... [and others]	Books		Colorado State University. Department of Atmospheric Science,Colorado State University,	Fort Collins, Colo. : Dept. of Atmospheric Science, Colorado State University, 1993.			ocm29042266	Atmospheric science paper ; no. 530,						
2708	Computer programs for qualitative data analysis : a software sourcebook	Eben A. Weitzman, Matthew B. Miles	Books		Miles, Matthew B,	Thousand Oaks, Calif. : Sage Publications, [1995] ©1995		9780803955370, 0803955375, 9780803955363, 0803955367	ocm31410736							
2709	Computational and data grids : principles, applications, and design	Nikolaos Preve, editor	Books		Preve, Nikolaos, 1979-,	Hershey, PA : Information Science Reference, 2012.		9781613501139, 1613501137, 9781613501146, 1613501145, 9781613501153, 1613501153	ocn707264103							
2710	Data and spatial studies of the USGS Texas Water Science Center	by Thomas E. Burley	Books		Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	[Reston, Va.] : U.S. Department of the Interior, U.S. Geological Survey, 2014.			ocn912863214	Fact sheet (Geological Survey (U.S.)); 2014-3117,						
2711	Environment, strategy, and the use of computer-based data : case studies in product management	David K. Goldstein, Namjae Cho	Books		Cho, Namjae,	Cambridge, Mass. : Marketing Science Institute, [1991] ©1991			ocm25353480	Technical working paper ; no. 91-132,						
2712	Transactions on large-scale data- and knowledge-centered systems XIII	Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)	Books		Hameurlain, Abdelkader, editor,Küng, Josef, editor,Wagner, Roland, editor,	Heidelberg : Springer, 2013.		9783642544262, 3642544266, 9783642544255, 3642544258	ocn873583089	Lecture notes in computer science ; 8420,						
2713	TR		Journals, Magazines, Newspapers		University of Arizona. Department of Computer Science,University of Arizona,	Tucson, Ariz. : Dept. of Computer Science, University of Arizona.			ocm11240601							
2714	New nuclear data		Journals, Magazines, Newspapers	1952-1957	Way, Katharine, 1903-,U.S. Atomic Energy Commission,Nuclear Data Group,	[Oak Ridge, Tenn.] : U.S. Atomic Energy Commission ; [Washington, D.C. : For sale by the Supt. of Docs., U.S. G.P.O., 1952-1958]			ocm10902933				Nuclear data tables (Washington, D.C.),			
2715	Mapping freeze/thaw boundaries with SMMR data	B.W. Zuerndorfer ... [and others]	Books		Zuerndorfer, B. W,United States. National Aeronautics and Space Administration,United States. National Advisory Committee for Aeronautics,United States. National Aeronautics and Space Council,	Ann Arbor, MI : Radiation Laboratory, Dept. of Electrical Engineering and Computer Science, University of Michigan, [1989?]			ocm31125875	NASA contractor report ; NASA CR-184991,						
2716	A comparison of radiosonde temperature and humidity profile data bases	R. A. Nieman	Books		Goddard Space Flight Center,Computer Sciences Corporation,	1 v. (various pagings) : ill., 28 cm.			ocn647435827							
2717	Systematic reviews in the social sciences : a practical guide	Mark Petticrew and Helen Roberts	Books		Roberts, Helen, 1949-,Wiley InterScience (Online service),Synergy (Online service),Wiley Online Library (Online service),	Malden, MA ; Oxford : Blackwell Pub., 2006.		9780470754887, 0470754885, 9781405150149, 1405150149, 1280237902, 9781280237904, 9781405121101, 1405121106, 9781405121118, 1405121114	ocn212124280							
2718	Basic computer programs in science and engineering	Jules H. Gilder	Books			Rochelle Park, N.J. : Hayden Book Co., [1980] ©1980		9780810407619, 0810407612	ocm06280613							
2719	Tourism in troubled times : hearing before the Subcommittee on Competitiveness, Innovation, and Export Promotion of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Eleventh Congress, first session, May 13, 2009		Books			Washington : U.S. Government Printing Office : 2010. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2010.				S. hrg ; 111-378,						
2720	[Overlapping cloud investigations using MODIS, CERES, and ARM Cart site data : progress report]		Books		Ackerman, Steven A,University of Wisconsin--Madison. Space Science and Engineering Center,	Madison, WI. : University of Wisconsin--Madison, 2001.			ocm76803498							
2721	Public Access to Data from Federally Funded Research : Provisions in OMB Circular A-110		Books			[Place of publication not identified] : [publisher not identified], 2013.										
2722	Programming guide to version 6.0 of Statistical package for the social sciences (SPSS)		Books		Nie, Norman H,	Washington : General Accounting Office, Federal Personnel and Compensation Division, Systems Analysis Group, [1976?]			ocm02958803	Data analysis note ; no. 2,						
2723	Data and applications security and privacy XXVI : 26th Annual IFIP WG 11.3 Conference, DBSec 2012, Paris, France, July 11-13,2012. Proceedings	Nora Cuppens-Boulahia, Frédéric Cuppens, Joaquin Garcia-Alfaro (eds.)	Books		Cuppens-Boulahia, Nora,Cuppens, Frédéric,Garcia-Alfaro, Joaquin,	Berlin ; New York : Springer, [2012] ©2012		9783642315404, 3642315402, 9783642315398	ocn798572176	Lecture notes in computer science ; 7371,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,						
2724	Waste, fraud, and abuse in the SBIR Program : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Eleventh Congress, first session, August 6, 2009		Books			Washington : U.S. Government Printing Office : 2010. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2010.				S. hrg. ; 111-392,						
2725	Boosted statistical relational learners : from benchmarks to data-driven medicine	Sriraam Natarajan, Kristian Kersting, Tushar Khot, Jude Shavlik	Books		Kersting, Kristian, author,Khot, Tushar, author,Shavlik, Jude, author,	Cham : Springer, [2014] ©2014		9783319136448, 3319136445, 9783319136431, 3319136437, 9783319136431	ocn904397963	SpringerBriefs in computer science,						
2726	EDP systems in public management; [proceedings]	Editors: Geoffrey Y. Cornog [and others]	Books		Cornog, Geoffrey Yates, 1923- editor,University of Georgia,System Development Corporation,System Development Foundation (Palo Alto, Calif.),	Chicago : Rand McNally, [1968]			ocm00500987	Rand McNally series in the organization sciences,						
2727	Real-time direct read-out satellite support to meteorological research programs and forecasting units	by Harvey J. Miller	Manuscripts, Theses		Vonder Haar, Thomas H,	Fort Collins, Colorado : Colorado State University, Department of Atmospheric Science, 1972.			ocm16664115	Atmospheric science paper ; no. 181,						
2728	Determination of wind from Nimbus 6 satellite sounding data	William E. Carle and James R. Scoggins	Books		Scoggins, James R,United States. National Aeronautics and Space Administration. Scientific and Technical Information Branch,United States. Army Research Office,Texas A & M University. Department of Meteorology,George C. Marshall Space Flight Center. Atmospheric Sciences Division,Texas A & M University. Department of Oceanography,Texas A & M University. Department of Oceanography and Meteorology,Texas A & M University,United States. National Aeronautics and Space Administration. Scientific and Technical Information Office,United States. National Aeronautics and Space Administration. Scientific and Technical Information Office (1986-1987),	Washington, D.C. : National Aeronautics and Space Administration, Scientific and Technical Information Branch ; [Springfield, Va.] : [For sale by the National Technical Information Service], 1981.			ocm07364390	NASA reference publication ; 1072,						
2729	Asian carp : hearing before the Subcommittee on Water and Power of the Committee on Energy and Natural Resources, United States Senate, One Hundred Eleventh Congress, second session, to examine the science and policy behind the federal framework and nonfederal efforts to prevent introduction of the aquatic invasive Asian carp into the Great Lakes, February 25, 2010		Books			Washington : U.S. Government Printing Office : 2010. For sale by the Superintendent of Documents, U.S. Government Printing Office, 2010.				S. hrg. ; 111-386,						
2730	Multivariate and probabilistic analyses of sensory science problems	Jean-François Meullenet, Rui Xiong, and Christopher J. Findlay	Books		Xiong, Rui,Findlay, Christopher J,	1st ed. [Chicago, Ill.] : IFT Press ; Ames, Iowa : Blackwell Pub., 2007.		9780813801780, 0813801788, 9780470277539, 047027753X, 9781615832057, 161583205X	ocn184983193, ocn552140366	IFT Press series,						
2731	ITiCSE 2005 : proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, June 27-29, 2005, Monte de Caparica, Portugal		Books		ACM Digital Library,Association for Computing Machinery,Association for Computing Machinery. Special Interest Group on Computer Science Education,Association for Computing Machinery. Special Interest Committee on Computer Science Education,	New York, N.Y. : Association for Computing Machinery, [2005] ©2005		1595930248, 9781595930248	ocm61889439	SIGCSE bulletin. v. 37, no. 3 (Sept. 2005),						
2732	Symbolic computation for statistical inference	D.F. Andrews and J.E. Stafford	Books		Stafford, J. E. H. (James E. H.),	Oxford ; New York : Oxford University Press, 2000.		9780198507055, 0198507054	ocm43526765	Oxford statistical science series ; 21,						
2733	Current trends in geomathematics	edited by Daniel F. Merriam	Books		Merriam, Daniel Francis,International Association for Mathematical Geology,International Association for Mathematical Geosciences,	New York : Plenum Press, [1988] ©1988		9780306430879, 0306430878	ocm18560521	Computer applications in the earth sciences,						
2734	Flowcharting concepts & data processing techniques; a self- instructional guide	Mark N. Wayne	Books			Wellesley, Mass. : Honeywell Institute of Information Sciences, [1973]		9780063891500, 0063891506	ocm00627826							
