,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
220,894,a2253,b2615,"""Advanced data mining and applications : second international conference, ADMA 2006, Xi'an, China, August 14-16, 2006 : proceedings""","""Xue Li, Osmar R. Zaïane, Zhanhuai Li (eds.)""","""Berlin ; New York : Springer, 2006.""","""Books""",9783540370253,"""Lecture notes in computer science ; 4093,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Current trends in scientific computing : ICM 2002 Beijing Satellite Conference on Scientific Computing, August 15-18, 2002, Xi'an Jiaotang University, Xi'an, China  ""","""Chen, Zhangxin, | Glowinski, R. | Li, Kaitai.""","""Providence, RI""","""Electronic books. | Conference proceedings.""",9780821879191,"""Contemporary mathematics (American Mathematical Society) ; 329.""","""1 online resource (ix, 372 pages)""",0
3,6,a1971,b4754,"""Advances in visual computing : first international symposium, ISVC 2005, Lake Tahoe, NV, USA, December 5-7, 2005 : proceedings""","""George Bebis ... [and others] (eds.)""","""Berlin ; New York : Springer, 2005.""","""Books""",9783540307501,"""Lecture notes in computer science. 3804,""","""nan""","""Advances in visual computing : 4th international symposium, ISVC 2008, Las Vegas, NV, USA, December 1-3, 2008 : proceedings  ""","""Bebis, George.""","""Berlin ; Springer, c2008.""","""Electronic books.""",9783540896463,"""Lecture notes in computer science, 5358 0302-9743 ;""","""2 v.""",0
157,684,a2340,b3289,"""Computer science - theory and applications : 5th International Computer Science Symposium in Russia, CSR 2010, Kazan, Russia, June 16-20, 2010 ; proceedings""","""Farid Ablayev, Ernst W. Mayr (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642131813,"""Lecture notes in computer science ; 6072,""","""nan""","""Graph-theoretic concepts in computer science : 41st International Workshop, WG 2015 Garching, Germany, June 17-19, 2015, revised papers  ""","""Mayr, Ernst,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662531747,"""Lecture notes in computer science ; 9224. 0302-9743 Lecture notes in computer science. Advanced research in computing and software science. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiv, 514 pages).""",0
125,537,a1367,b2167,"""Ethical data mining applications for socio-economic development""","""Hakikur Rahman, University of Minho, Portugal and Isabel Ramos, University of Minho, Portugal editors""","""Hershey, PA : Information Science Reference, [2013]""","""Books""",9781466640788,"""Advances in data mining and database management (ADMDM) book series,""","""nan""","""Ethical data mining applications for socio-economic development ""","""Rahman, Hakikur, | Ramos, Isabel,""","""Hershey, Pa.""","""Electronic books.""",9781466640795,"""nan""","""1 online resource (299 pages)""",1
24,74,a3359,b4291,"""Machine learning and cybernetics : 13th International Conference, Lanzhou, China, July 13-16, 2014, proceedings""","""Xizhao Wang, Witold Pedrycz, Patrick Chan, Qiang He (Eds.)""","""Berlin : Springer, 2014. ©2014""","""Books""",9783662456521,"""Communications in computer and information science ; 481,""","""nan""","""Machine learning and cybernetics : 13th International Conference, Lanzhou, China, July 13-16, 2014, proceedings  ""","""Wang, Xizhao, | Pedrycz, Witold, | Chan, Patrick, | He, Qiang,""","""Berlin""","""Electronic books.""",9783662456521,"""Communications in computer and information science ; 481, 1865-0929""","""1 online resource (xiv, 462 pages)""",1
30,120,a3369,b900,"""Principles of geographical information systems""","""Peter A. Burrough and Rachael A. McDonnell""","""New York : Oxford University Press, 1998.""","""Books""",9780198233657,"""Spatial information systems,Spatial information series,""","""nan""","""Principles of geographical information systems  ""","""Burrough, P. A.""","""Oxford""","""nan""",9780198742845,"""nan""","""pages cm""",1
77,310,a2318,b283,"""Annotated bibliography of films in automation, data processing, and computer science""","""[by] Martin B. Solomon, Jr., and Nora Geraldine Lovan""","""[Lexington] University of Kentucky Press, 1967.""","""Books""",9780813165202,"""nan""","""nan""","""Annotated bibliography of films in automation, data processing, and computer science  ""","""Solomon, Martin B.""","""[Lexington]""","""Electronic books. | Film catalogs.""",9780813165202,"""nan""","""1 online resource (45 pages)""",1
291,1257,a4324,b3269,"""Transactions on computational science XXVIII : special issue on cyberworlds and cybersecurity""","""Marina L. Gavrilova, C.J. Kenneth Tan, Alexei Sourin (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662530900,"""Lecture notes in computer science ; 9590,""","""nan""","""Transactions on computational science VII ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer-Verlag, c2010.""","""Electronic books.""",9783642113895,"""Lecture notes in computer science ; 5890.""","""1 online resource (viii, 162 p.).""",0
210,869,a5426,b797,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
19,65,a3960,b928,"""Advances in data mining : applications and theoretical aspects : 12th Industrial Conference, ICDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642314889,"""Lecture notes in computer science ; 7377,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
254,1123,a2372,b801,"""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings""","""Abdelkader Hameurlain, Franck Morvan, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642151088,"""Lecture notes in computer science ; 6265,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data warehousing and knowledge discovery : 11th International Conference, DaWaK 2009 Linz, Austria, August 31-September 2, 2009, proceedings  ""","""Pedersen, Torben Bach. | Mohania, Mukesh. | Tjoa, A. Min.""","""Berlin ; Springer-Verlag, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037306,"""Lecture notes in computer science ; 5691.""","""1 online resource.""",0
241,1006,a4897,b597,"""New directions in rough sets, data mining, and granular-soft computing : 7th International Workshop, RSFDGrC'99, Yamaguchi, Japan, November 9-11, 1999 : proceedings""","""Ning Zhong, Andrzej Skowron, Setsuo Ohsuga (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540666455,"""Lecture notes in computer science ; 1711,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""New directions in rough sets, data mining, and granular-soft computing : 7th International Workshop, RSFDGrC'99, Yamaguchi, Japan, November 9-11, 1999 : proceedings  ""","""Zhong, Ning, | Skowron, Andrzej. | Åsuga, Setsuo,""","""Berlin ; Springer, c1999.""","""Electronic books. | Conference proceedings.""",9783540480617,"""Lecture notes in computer science ; 1711. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 558 p.)""",1
266,1154,a2699,b159,"""Availability, reliability, and security in information systems and HCI : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2013, Regensburg, Germany, September 2-6, 2013, proceedings""","""Alfredo Cuzzocrea, Christian Kittl, Dimitris E. Simos, Edgar Weippl, Lida Xu, (eds.)""","""Heidelberg : Springer, [2013] ©2013""","""Books""",9783642405112,"""Lecture notes in computer science ; 8127,""","""nan""","""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware...""","""Buccafurri, Francesco, | Holzinger, Andreas, | Kieseberg, Peter, | Tjoa, A. Min, | Weippl, Edgar R.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319455075,"""Lecture notes in computer science ; 9817. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xii, 267 pages)""",0
80,321,a16,b740,"""Mobile data access : First International Conference, MDA'99, Hong Kong, China, December 16-17, 1999 : proceedings""","""Hong Va Leong ... [and others] (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540668787,"""Lecture notes in computer science. 1748,""","""nan""","""Mobile data access : First International Conference, MDA'99, Hong Kong, China, December 16-17, 1999 : proceedings  ""","""Leong, Hong Va.""","""Berlin ; Springer, Â©1999.""","""Electronic books. | Conference proceedings.""",9783540466697,"""Lecture notes in computer science ; 1748.""","""1 online resource (x, 239 pages)""",1
51,203,a1585,b1894,"""Mathematical aspects of computer and information sciences : 6th International Conference, MACIS 2015, Berlin, Germany, November 11-13, 2015, Revised selected papers""","""Ilias S. Kotsireas, Siegfried M. Rump, Chee K. Yap (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319328591,"""Lecture notes in computer science ; 9582,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Hybrid learning and continuing education : 6th International Conference, ICHL 2013, Toronto, ON, Canada, August 12-14, 2013. Proceedings  ""","""Cheung, Simon K. S.,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642397509,"""Lecture notes in computer science ; 8038, 0302-9743 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiv, 411 pages)""",0
2,5,a4637,b297,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 15th China National Conference, CCL 2016, and 4th International Symposium, NLP-NABD 2016, Yantai, China, October 15-16, 2016, Proceedings""","""edited by Maosong Sun, Xuanjing Huang, Hongfei Lin, Zhiyuan Liu, Yang Liu""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319476742,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10035,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",0
235,956,a4845,b6278,"""Introduction to computational materials science : fundamentals to applications""","""Richard LeSar, Iowa State University""","""Cambridge ; New York : Cambridge University Press, 2013. ©2013""","""Books""",9781107334588,"""nan""","""nan""","""Introduction to computational materials science : fundamentals to applications  ""","""LeSar, R. (Richard), 1953-""","""Cambridge ; New York""","""nan""",9780521845878,"""nan""","""xiii, 414 pages""",1
104,428,a3243,b3231,"""Algebraic methodology and software technology : 13th international conference, AMAST 2010, Lac-Beauport, QC, Canada, June 23-25, 2010 : revised selected papers""","""Michael Johnson, Dusko Pavlovic (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642177965,"""Lecture notes in computer science ; 6486,""","""nan""","""Algebraic methodology and software technology : 6th international conference, AMAST '97, Sydney, Australia, December 13-17, 1997 : proceedings  ""","""Johnson, Michael.""","""Berlin ; Springer-Verlag, c1997.""","""Electronic books. | Conference proceedings.""",9783540696612,"""Lecture notes in computer science ; 1349. 0302-9743""","""1 online resource (x, 594 p.)""",0
179,752,a5397,b570,"""Data Management Technologies and Applications 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised Selected Papers""","""edited by Chiara Francalanci, Markus Helfert""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319629117,"""Communications in computer and information science ; 737,""","""nan""","""Data management technologies and applications : 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised selected papers  ""","""Francalanci, Chiara, | Helfert, Markus,""","""Cham, Switzerland""","""Electronic books.""",9783319629117,"""Communications in computer and information science ; 737. 1865-0929""","""1 online resource (xi, 179 pages)""",1
86,351,a4034,b3277,"""Graph-theoretic concepts in computer science : 42nd International Workshop, WG 2016, Istanbul, Turkey, June 22-24, 2016, Revised selected papers""","""Pinar Heggernes (eds.)""","""Berlin, Germany : Springer, 2016.""","""Books""",9783662535363,"""Lecture notes in computer science ; 9941,Lecture notes in computer science. Advanced research in computing and software science,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Graph-theoretic concepts in computer science : 42nd International Workshop, WG 2016, Istanbul, Turkey, June 22-24, 2016, Revised selected papers  ""","""Heggernes, Pinar,""","""Berlin, Germany""","""Electronic books. | Conference papers and proceedings.""",9783662535363,"""Lecture notes in computer science ; 9941. 0302-9743 Lecture notes in computer science. Advanced research in computing and software science. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (x, 307 pages)""",1
10,49,a3429,b1113,"""Public key cryptography--PKC 2004 : 7th International Workshop on Theory and Practice in Public Key Cryptography, Singapore, March 1-4, 2004 : proceedings""","""Feng Bao, Robert Deng, Jianying Zhou (eds.)""","""Berlin ; New York : Springer-Verlag, 2004.""","""Books""",9783540210184,"""Lecture notes in computer science ; 2947,""","""nan""","""Applied cryptography and network security : 10th International Conference, ACNS 2012, Singapore, June 26-29, 2012. Proceedings  ""","""Bao, Feng, | Samarati, Pierangela. | Zhou, Jianying.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642312847,"""Lecture notes in computer science ; 7341. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource.""",0
199,821,a4515,b730,"""Open access and the public domain in digital data and information for science : proceedings of an international symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; U.S. National Committee for CODATA, Board on International Scientific Organizations, Policy and Global Affairs Division ; National Research Council""","""Washington, D.C. : National Academies Press, [2004] ©2004""","""Books""",9780309091459,"""nan""","""nan""","""Advances in intelligent data analysis IX : 9th international symposium, IDA 2010, Tucson, AZ, USA, May 19-21, 2010 : proceedings  ""","""Cohen, Paul R. | Adams, Niall M., | Berthold, M.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642130625,"""Lecture notes in computer science ; 6065. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xiii, 260 p.)""",0
58,232,a3190,b1821,"""Computing methods in applied sciences and engineering""","""Second International Symposium, December 15-19, 1975 ; [organized by] IRIA LABORIA, Institut de recherche d'informatique et d'automatique ; edited by R. Glowinski and J. L. Lions""","""Berlin ; New York : Springer-Verlag, 1976.""","""Books""",9780387079905,"""Lecture notes in economics and mathematical systems ; 134,""","""nan""","""Integral methods in science and engineering : progress in numerical and analytic techniques  ""","""Bodmann, Bardo E. J. | Campos Velho, Harold F. de. | Constanda, C.""","""[Place of publication not identified]""","""Electronic books. | Congresses. | Conference papers and proceedings.""",9781461478287,"""nan""","""1 online resource""",0
41,178,a3077,b949,"""Secure data management : 9th VLDB Workshop, SDM 2012, Istanbul, Turkey, August 27, 2012. Proceedings""","""Willem Jonker, Milan Petković (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642328732,"""Lecture notes in computer science ; 7482,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Secure data management : 6th VLDB workshop, SDM 2009, Lyon, France, August 28, 2009 : proceedings  ""","""Jonker, Willem, | PetkoviÄ, Milan.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642042195,"""Lecture notes in computer science ; 5776. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (viii, 171 pages)""",0
14,56,a1353,b26,"""Soft Methods for Data Science""","""edited by Maria Brigida Ferraro, Paolo Giordani, Barbara Vantaggi, Marek Gagolewski, María Ángeles Gil, Przemysław Grzegorzewski, Olgierd Hryniewicz""","""Cham : Springer International Publishing : Imprint : Springer, 2017.""","""Books""",9783319429724,"""Advances in intelligent systems and computing ; 456,""","""nan""","""Soft methods for data science  ""","""Ferraro, Maria Brigida,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319429724,"""Advances in intelligent systems and computing ; v. 456.""","""1 online resource.""",1
155,682,a3331,b3289,"""Graph-theoretic concepts in computer science : 41st International Workshop, WG 2015 Garching, Germany, June 17-19, 2015, revised papers""","""Ernst W. Mayr (ed.)""","""Berlin : Springer, 2016.""","""Books""",9783662531747,"""Lecture notes in computer science ; 9224,Lecture notes in computer science. Advanced research in computing and software science,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Graph-theoretic concepts in computer science : 41st International Workshop, WG 2015 Garching, Germany, June 17-19, 2015, revised papers  ""","""Mayr, Ernst,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662531747,"""Lecture notes in computer science ; 9224. 0302-9743 Lecture notes in computer science. Advanced research in computing and software science. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiv, 514 pages).""",1
50,191,a4324,b1187,"""Transactions on computational science XXVIII : special issue on cyberworlds and cybersecurity""","""Marina L. Gavrilova, C.J. Kenneth Tan, Alexei Sourin (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662530900,"""Lecture notes in computer science ; 9590,""","""nan""","""Transactions on computational science XVI ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642326639,"""Lecture notes in computer science ; 7380.""","""1 online resource.""",0
292,1268,a2832,b6069,"""Bayesian networks and decision graphs""","""Finn V. Jensen""","""New York : Springer, [2001] ©2001""","""Books""",9780387952598,"""Statistics for engineering and information science,Information science and statistics,""","""nan""","""Bayesian networks and decision graphs  ""","""Jensen, Finn V.""","""New York""","""Electronic books.""",9781475735024,"""Statistics for engineering and information science.""","""1 online resource (xv, 268 pages)""",1
233,954,a1446,b5187,"""Recent trends in algebraic development techniques : 15th international workshop, WADT 2001 Joint with the CoFI WG Meeting, Genova, Italy, April 1-3, 2001 : selected papers""","""Maura Cerioli, Gianna Reggio (eds.)""","""Berlin ; London : Springer, [2001] ©2001""","""Books""",9783540431596,"""Lecture notes in computer science. 2267,""","""nan""","""Recent trends in algebraic development techniques : 15th international workshop, WADT 2001 Joint with the CoFI WG Meeting, Genova, Italy, April 1-3, 2001 : selected papers  ""","""Cerioli, Maura. | Reggio, Gianna,""","""Berlin ; Springer, c2001.""","""Electronic books. | Conference proceedings.""",9783540456452,"""Lecture notes in computer science ; 2267.""","""1 online resource (x, 343 p.)""",1
123,531,a3308,b4031,"""Selected areas in cryptography : 12th international workshop, SAC 2005, Kingston, ON, Canada, August 11-12, 2005 : revised selected papers""","""Bart Preneel, Stafford Tavares (eds.)""","""Berlin ; New York : Springer, [2006] ©2006""","""Books""",9783540331087,"""Lecture notes in computer science. 3897,""","""nan""","""Financial cryptography and data security : 20th International Conference, FC 2016, Christ Church, Barbados, February 22-26, 2016, Revised selected papers  ""","""Grossklags, Jens, | Preneel, Bart,""","""Berlin, Germany""","""Electronic books.""",9783662549704,"""Lecture notes in computer science ; 9603. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 620 pages)""",0
200,822,a3142,b730,"""Advances in intelligent data analysis XVI : 16th International Symposium, IDA 2017, London, UK, October 26-28, 2017, Proceedings""","""Niall Adams, Allan Tucker, David Weston (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319687650,"""Lecture notes in computer science ; 10584,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Advances in intelligent data analysis IX : 9th international symposium, IDA 2010, Tucson, AZ, USA, May 19-21, 2010 : proceedings  ""","""Cohen, Paul R. | Adams, Niall M., | Berthold, M.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642130625,"""Lecture notes in computer science ; 6065. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xiii, 260 p.)""",0
62,250,a67,b132,"""Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""James D. Miller""","""Birmingham, UK : Packt Publishing, 2017. ©2017""","""Books""",9781788295345,"""nan""","""nan""","""Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks  ""","""Miller, James D., (Software consultant)""","""Birmingham, UK""","""Electronic books.""",9781788295345,"""nan""","""1 online resource""",1
187,799,a4969,b685,"""Transactions on large-scale data- and knowledge-centered systems XXXI special issue on data and security engineering""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662541739,"""Lecture notes in computer science ; 10140,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
226,919,a996,b695,"""Transactions on large-scale data- and knowledge-centered systems XV : selected papers from ADBIS 2013 satellite events""","""Abdelkader Hameurlain ... [and more] (eds.)""","""Berlin : Springer, 2014.""","""Books""",9783662457610,"""Lecture notes in computer science ; 8920,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXIX  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland,""","""Berlin, Germany""","""Electronic books.""",9783662540374,"""Lecture notes in computer science ; 10120. 0302-9743""","""1 online resource (vii, 135 pages)""",0
130,558,a5006,b2276,"""Biological data mining and its applications in healthcare""","""editors, Xiaoli Li (A*STAR, Singapore & Nanyang Technological University, Singapore), See-Kiong Ng (A*STAR, Singapore), Jason T.L. Wang (New Jersey Institute of Technology, USA)""","""New Jersey : World Scientific, [2014] ©2014""","""Books""",9789814551014,"""Science, engineering, and biology infomatics ; v. 8,""","""nan""","""Trends and Applications in Knowledge Discovery and Data Mining : PAKDD 2015 Workshops: BigPMA, VLSP, QIMIE, DAEBH, Ho Chi Minh City, Vietnam, May 19-21, 2015. Revised Selected...""","""Li, Xiao-Li. | Cao, Tru. | Lim, Ee-Peng. | Zhou, Zhi-Hua. | Ho, Tu-Bao. | Cheung, David.""","""Cham""","""Electronic books.""",9783319256603,"""Lecture notes in computer science ; 9441. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xv, 289 p.)""",0
209,868,a5399,b797,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
260,1140,a1608,b564,"""Data structures and algorithms : an object-oriented approach using Ada 95""","""John Beidler""","""New York : Springer, [1997] ©1997""","""Books""",9780387948348,"""Undergraduate texts in computer science,Texts in computer science,""","""nan""","""Data structures and algorithms : an object-oriented approach using Ada 95  ""","""Beidler, John, 1941-""","""New York""","""Electronic books.""",9781461218548,"""Undergraduate texts in computer science.""","""1 online resource (xvi, 364 pages)""",1
43,180,a5186,b819,"""Ice ages and interglacials : measurements, interpretation and models""","""Donald Rapp""","""Second edition. Heidelberg ; New York : Springer-Verlag ; Chichester, UK : Praxis Pub., [2012] ©2012""","""Books""",9783642300295,"""Springer-Praxis books in environmental sciences,""","""nan""","""Ice Ages and interglacials : measurements, interpretation and models  ""","""Rapp, Donald, 1934-""","""Berlin ; Springer, Â©2012.""","""Electronic books.""",9783642300295,"""Springer-Praxis books in environmental sciences.""","""1 online resource (xxv, 404 pages)""",1
114,506,a4696,b6257,"""Data mining, intrusion detection, information assurance, and data networks security 2005 : 28-29 March, 2005, Orlando, Florida, USA""","""Belur V. Dasarathy, chair/editor ; sponsored and published by SPIE--The International Society for Optical Engineering ; cooperating organizations, Ball Aerospace & Technologies Corporation (USA) .. [and others].""","""Bellingham, Wash. : SPIE, [2005] ©2005""","""Books""",9780819457974,"""Proceedings of SPIE--the International Society for Optical Engineering ; v. 5812,""","""nan""","""Cyber security : recovery and reconstitution of critical networks : hearing before the Federal Financial Management, Government Information, and International Security...""","""United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs. Subcommittee on Federal Financial Management, Government Information, and International Security.""","""Washington""","""nan""",9780160788727,"""United States. Congress. Senate. S. hrg. ; 109-893.""","""iv, 229 p. ; 24 cm.""",0
138,581,a5010,b4720,"""The fractal structure of data reference : applications to the memory hierarchy""","""by Bruce McNutt""","""Boston : Kluwer Academic, [2000] ©2000""","""Books""",9780306470349,"""Kluwer international series on advances in database systems ; 22,""","""nan""","""The Fractal Structure of Data Reference : Applications to the Memory Hierarchy  ""","""McNutt, Bruce.""","""Boston, MA""","""Electronic books.""",9780306470349,"""Advances in database systems ; 22. 1386-2944""","""1 online resource""",1
294,1273,a1435,b327,"""Geomatic methods for the analysis of data in the earth sciences""","""Athanasios Dermanis, Armin Grün, Fernando Sansò (eds.)""","""Berlin ; New York : Springer, [2000] ©2000""","""Books""",9783540674764,"""Lecture notes in earth sciences. 95,Lecture notes in earth system sciences,""","""nan""","""Geomatic Method for the Analysis of Data in the Earth Sciences ""","""Dermanis, Athanasios.""","""Berlin, Heidelberg""","""Electronic books.""",9783540455974,"""Lecture notes in earth sciences ; 95.""","""1 online resource (xiv, 262 pages).""",1
218,887,a247,b66,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : Wiley, [2014]""","""Books""",9781119204183,"""Wiley and SAS business series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource.""",1
149,672,a2676,b4134,"""CAAP '92 : 17th Colloquium on Trees in Algebra and Programming, Rennes, France, February 26-28, 1992, proceedings""","""J.-C. Raoult, ed""","""Berlin ; New York : Springer-Verlag, 1992.""","""Books""",9783540552512,"""Lecture notes in computer science ; 581,""","""nan""","""CAAP '92 : 17th Colloquium on Trees in Algebra and Programming, Rennes, France, February 26-28, 1992, proceedings  ""","""Raoult, J.-C.""","""Berlin ; Springer-Verlag, 1992.""","""Electronic books. | Conference proceedings.""",9783540467991,"""Lecture notes in computer science ; 581. 0302-9743""","""1 online resource (viii, 361 p.)""",1
