,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
89,357,a4814,b140,"""Foundations of data organization and algorithms : 3rd international conference, FODO 1989, Paris, France, June 21-23, 1989 : proceedings""","""W. Litwin, H.-J. Schek (Eds.)""","""Berlin ; New York : Springer-Verlag, [1989] ©1989""","""Books""",9780387512952,"""Lecture notes in computer science ; 367,""","""nan""","""Soft computing in data science : first international conference, SCDS 2015, Putrajaya, Malaysia, September 2-3, 2015, Proceedings  ""","""Berry, Michael W., | Mohamed, Azlinah Hj., | Wah, Yap Bee,""","""Singapore""","""Electronic books.""",9789812879363,"""Communications in computer and information science ; 545. 1865-0929""","""1 online resource (xi, 270 pages)""",0
81,332,a5426,b3056,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVI : selected papers from ACOMP 2013  ""","""Hameurlain, Abdelkader,""","""Berlin""","""Electronic books.""",9783662459478,"""Lecture notes in computer science ; 8960.""","""1 online resource (viii, 103 pages).""",0
34,131,a1750,b3614,"""Applied cryptography and network security : 14th International Conference, ACNS 2016, Guildford, UK, June 19-22, 2016. Proceedings""","""Mark Manulis, Ahmad-Reza Sadeghi, Steve Schneider (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319395555,"""Lecture notes in computer science ; 9696,LNCS sublibrary. Security and cryptology,""","""nan""","""Public key cryptography-- PKC 2012 : 15th International Conference on Practice and Theory in Public Key Cryptography, Darmstadt, Germany, May 21-23, 2012. Proceedings  ""","""Fischlin, Marc. | Buchmann, Johannes. | Manulis, Mark.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642300578,"""Lecture notes in computer science ; 7293. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 734 pages).""",0
55,216,a5399,b1060,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings  ""","""Hameurlain, Abdelkader. | Morvan, Franck. | Tjoa, A. Min.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642151088,"""Lecture notes in computer science ; 6265. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (x, 159 p.)""",0
139,582,a3020,b4720,"""The fractal structure of data reference : applications to the memory hierarchy""","""by Bruce McNutt""","""Boston, MA : Kluwer Academic, [2000] ©2000""","""Books""",9780792379454,"""Kluwer international series on advances in database systems ; 22,""","""nan""","""The Fractal Structure of Data Reference : Applications to the Memory Hierarchy  ""","""McNutt, Bruce.""","""Boston, MA""","""Electronic books.""",9780306470349,"""Advances in database systems ; 22. 1386-2944""","""1 online resource""",1
236,987,a5342,b862,"""Data management in grid and peer-to-peer systems : 4th international conference, Globe 2011, Toulouse, France, September 1-2, 2011 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642229473,"""Lecture notes in computer science ; 6864,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management in grid and peer-to-peer systems : second international conference ; proceedings, Globe 2009, Linz, Austria, September 1-2, 2009  ""","""Hameurlain, Abdelkader. | Tjoa, A. Min.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037153,"""Lecture notes in computer science ; 5697.""","""1 online resource (viii, 149 pages)""",0
64,265,a4290,b450,"""Statistical computing with R""","""Maria L. Rizzo""","""Boca Raton : Chapman & Hall/CRC, [2008] ©2008""","""Books""",9781584885450,"""Series in computer science and data analysis,""","""nan""","""Statistical computing with R  ""","""Rizzo, Maria L.""","""Boca Raton, FL""","""Electronic books.""",9781420010718,"""Series in computer science and data analysis.""","""1 online resource""",1
7,17,a2308,b2786,"""Information security and privacy : Second Australasian Conference, ACISP '97, Sydney, NSW, Australia, July 7-9, 1997 : proceedings""","""Vijay Varadharajan, Josef Pieprzyk, Yi Mu, (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540632320,"""Lecture notes in computer science. 1270,""","""nan""","""Information security and privacy : 19th Australasian Conference, ACISP 2014, Wollongong, NSW, Australia, July 7-9, 2014. Proceedings  ""","""Susilo, Willy, | Mu, Yi,""","""Cham""","""Electronic books.""",9783319083445,"""Lecture notes in computer science ; 8544. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 464 pages)""",0
45,186,a3334,b36,"""Federal data science : transforming government and agricultural policy using artificial intelligence""","""edited by Feras A. Batarseh, Ruixin Yang""","""London : Academic Press, 2018.""","""Books""",9780128124444,"""nan""","""nan""","""Federal data science : transforming government and agricultural policy using artificial intelligence  ""","""Batarseh, Feras, | Yang, Ruixin,""","""London""","""Electronic books.""",9780128124444,"""nan""","""1 online resource""",1
73,304,a5342,b1198,"""Data management in grid and peer-to-peer systems : 4th international conference, Globe 2011, Toulouse, France, September 1-2, 2011 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642229473,"""Lecture notes in computer science ; 6864,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Database and Expert Systems Applications : 24th International Conference, DEXA 2013, Prague, Czech Republic, August 26-29, 2013 : proceedings. Part I  ""","""Decker, Hendrik, | LhotskÃ¡, Lenka, | Link, Sebastian, | Basl, Josef, | Tjoa, A. Min,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642402852,"""Lecture notes in computer science ; 8055. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xxiv, 465 pages)""",0
213,877,a2195,b797,"""Data management in cloud, grid and P2P systems : 7th International Conference, Globe 2014, Munich, Germany, September 2-3, 2014, proceedings""","""Abdelkader Hameurlain, Tran Khanh Dang, Franck Morvan (eds.)""","""Cham : Springer, 2014.""","""Books""",9783319100678,"""Lecture notes in computer science ; 8648,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
173,729,a105,b2244,"""Transactions on computational science V : special issue on cognitive knowledge representation""","""Marina L. Gavrilova ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642020971,"""Lecture notes in computer science ; 5540,""","""nan""","""Transactions on computational science VIII ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642162367,"""Lecture notes in computer science ; 6260.""","""1 online resource (xiv, 166 p.)""",0
106,435,a188,b4616,"""Transactions on data hiding and multimedia security IX : Special Issue on Visual Cryptography""","""Yun Q. Shi (editor-in-chief); Feng Liu, Weiqi Yan (guest editors)""","""Heidelberg : Springer, 2014.""","""Books""",9783642550461,"""Lecture notes in computer science ; 8363,""","""nan""","""Visual cryptography for image processing and security : theory, methods, and applications  ""","""Liu, Feng""","""Cham""","""Electronic books.""",9783319096445,"""nan""","""1 online resource (xvi, 145 pages)""",0
59,244,a2340,b3086,"""Computer science - theory and applications : 5th International Computer Science Symposium in Russia, CSR 2010, Kazan, Russia, June 16-20, 2010 ; proceedings""","""Farid Ablayev, Ernst W. Mayr (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642131813,"""Lecture notes in computer science ; 6072,""","""nan""","""Computer algebra in scientific computing : 11th international workshop, CASC 2009, Kobe, Japan, September 13-17, 2009 : proceedings  ""","""Gerdt, Vladimir P. | Mayr, Ernst. | Vorozhtsov, E. V.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642041037,"""Lecture notes in computer science ; 5743. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xi, 391 pages)""",0
253,1040,a1614,b3909,"""Programming projects in C : for students of engineering, science, and mathematics""","""Rouben Rostamian""","""Philadelphia : Society for Industrial and Applied Mathematics, [2014]""","""Books""",9781611973495,"""Computational science and engineering ; 13,""","""nan""","""Programming projects in C for students of engineering, science, and mathematics  ""","""Rostamian, Rouben, 1949-""","""Baltimore, Maryland""","""Electronic books.""",9781611973501,"""Computational science and engineering ; 13.""","""1 online resource (xv, 393 pages).""",1
168,714,a2905,b1241,"""SOFSEM 2018 : theory and practice of computer science : 44th International Conference on Current Trends in Theory and Practice of Computer Science, Krems, Austria, January 29 - February 2, 2018, Proceedings""","""A Min Tjoa, Ladjel Bellatreche, Stefan Biffl, Jan van Leeuwen, Jiří Wiedermann (eds.)""","""Cham, Switzerland : Springer, 2018.""","""Books""",9783319731179,"""Lecture notes in computer science ; 10706,Lecture notes in computer science. Advanced research in computing and software science,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Model and data engineering : 2nd International Conference, MEDI 2012, Poitiers, France, October 3-5, 2012. Proceedings  ""","""AbellÃ³, Alberto. | Bellatreche, Ladjel, | Benatallah, Boualem.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642336096,"""Lecture notes in computer science ; 7602. LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource.""",0
26,88,a2000,b6680,"""Advances in computer and computational sciences : proceedings of ICCCCS 2016. Volume 1""","""Sanjiv K. Bhatia, Krishn K. Mishra, Shailesh Tiwari, Vivek Kumar Singh, editors""","""Singapore : Springer, 2017.""","""Books""",9789811037702,"""Advances in intelligent systems and computing ; v. 553,""","""nan""","""Information systems design and intelligent applications : proceedings of Third International Conference INDIA 2016. Volume 3  ""","""Satapathy, Suresh Chandra, | Mandal, Jyotsna Kumar, | Udgata, Siba K., | Bhateja, Vikrant,""","""[New Delhi]""","""Electronic books. | Conference papers and proceedings.""",9788132227571,"""Advances in intelligent systems and computing ; 435. 2194-5357""","""1 online resource (xviii, 669 pages)""",0
284,1237,a2393,b4292,"""Experiment! : planning, implementing, and interpreting""","""Oivind Andersson""","""Hoboken, NJ : Wiley, 2012.""","""Books""",9781118311011,"""nan""","""nan""","""Experiment! : planning, implementing, and interpreting  ""","""Andersson, Oivind, 1970-""","""Hoboken, NJ""","""Electronic books.""",9781118311011,"""nan""","""1 online resource""",1
153,677,a4984,b1911,"""Advanced data mining and applications : first international conference, ADMA 2005, Wuhan, China, July 22-24, 2005 : proceedings""","""Xue Li, Shuliang Wang, Zhao Yang Dong (eds.)""","""Berlin ; New York : Springer, 2005.""","""Books""",9783540278948,"""Lecture notes in computer science ; 3584,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information computing and applications : third International Conference, ICICA 2012, Chengde, China, September 14-16, 2012. Proceedings. Part I  ""","""Liu, Chunfeng. | Wang, Leizhen. | Yang, Aimin.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642340383,"""Communications in computer and information science ; 307.""","""1 online resource.""",0
134,569,a2925,b858,"""Pattern recognition and machine intelligence : 7th International Conference, PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings""","""B. Uma Shankar, Kuntal Ghosh, Deba Prasad Mandal, Shubhra Sankar Ray, David Zhang, Sankar K. Pal (eds.)""","""Cham : Springer, 2017.""","""Books""",9783319699004,"""Lecture notes in computer science ; 10597,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Foundations of data organization and algorithms : 4th International Conference, FODO '93, Chicago, Illinois, USA, October 13-15, 1993 : proceedings  ""","""Lomet, David B.,""","""Berlin ; Springer-Verlag, c1993.""","""Electronic books. | Conference proceedings.""",9783540480471,"""Lecture notes in computer science ; 730. 0302-9743""","""1 online resource (411 p.)""",0
145,607,a4894,b260,"""Using data sharing to improve coordination in peacebuilding : report of a workshop by the National Academy of Engineering and the United States Institute of Peace, Roundtable on Technology, Science, and Peacebuilding""","""Andrew Robertson and Steve Olson, rapporteurs ; National Academy of Engineering of the National Academies ; United States Institute of Peace""","""Washington, DC : The National Academies Press, [2012] ©2012""","""Books""",9780309265140,"""nan""","""nan""","""Privacy and data security : protecting consumers in the modern world : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred...""","""United States. Congress. Senate. Committee on Commerce, Science, and Transportation.""","""Washington""","""nan""",9780160901225,"""United States. Congress. Senate. S. hrg. ; 112-152.""","""iv, 91 p. ; 24 cm.""",0
63,252,a2082,b2692,"""NVivo 10 essentials : your guide to the world's most powerful data analysis software""","""by Bengt M. Edhlund & Allan G. McDougall""","""Stallarholmen, Sweden : Form & Kunskap AB, [2012] ©2012""","""Books""",9781300041320,"""nan""","""nan""","""Nvivo 10 essentials : your guide to the world's most powerful data analysis software  ""","""Edhlund, Bengt M.""","""Stallarholmen, Sweden""","""nan""",9781300041320,"""nan""","""355 p.""",1
293,1269,a1578,b227,"""Data integration in the life sciences : 7th international conference, DILS 2010, Gothenburg, Sweden, August 25-27, 2010 : proceedings""","""Patrick Lambrix, Graham Kemp (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642151200,"""Lecture notes in computer science ; 6254,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,""","""nan""","""Data integration in the life sciences : 7th international conference, DILS 2010, Gothenburg, Sweden, August 25-27, 2010 : proceedings  ""","""Lambrix, Patrick. | Kemp, Graham""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642151200,"""Lecture notes in computer science ; 6254. Lecture notes in computer science. Lecture notes in bioinformatics. LNCS sublibrary. SL 8, Bioinformatics.""","""1 online resource (x, 214 p.)""",1
285,1243,a321,b3251,"""Intelligent data engineering and automated learning -- IDEAL 2012 : 13th International Conference, Natal, Brazil, August 29-31, 2012. Proceedings""","""Hujun Yin, José A. F. Costa, Guilherme Barreto (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642326394,"""Lecture notes in computer science ; 7435,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Progress in cryptology - LATINCRYPT 2014 : third International Conference on Cryptology and Information Security in Latin America FlorianÃ³polis, Brazil, September 17-19, 2014...""","""Aranha, Diego F., | Menezes, A. J.""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319162959,"""Lecture notes in computer science ; 8895. 0302-9743""","""1 online resource (xii, 387 pages)""",0
224,910,a5399,b695,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXIX  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland,""","""Berlin, Germany""","""Electronic books.""",9783662540374,"""Lecture notes in computer science ; 10120. 0302-9743""","""1 online resource (vii, 135 pages)""",0
252,1039,a5557,b3909,"""Programming projects in C for students of engineering, science, and mathematics""","""Rouben Rostamian""","""Baltimore, Maryland : University of Maryland, Baltimore County, [2014]""","""Books""",9781611973501,"""Computational science and engineering ; 13,""","""nan""","""Programming projects in C for students of engineering, science, and mathematics  ""","""Rostamian, Rouben, 1949-""","""Baltimore, Maryland""","""Electronic books.""",9781611973501,"""Computational science and engineering ; 13.""","""1 online resource (xv, 393 pages).""",1
111,486,a4515,b6257,"""Open access and the public domain in digital data and information for science : proceedings of an international symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; U.S. National Committee for CODATA, Board on International Scientific Organizations, Policy and Global Affairs Division ; National Research Council""","""Washington, D.C. : National Academies Press, [2004] ©2004""","""Books""",9780309091459,"""nan""","""nan""","""Cyber security : recovery and reconstitution of critical networks : hearing before the Federal Financial Management, Government Information, and International Security...""","""United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs. Subcommittee on Federal Financial Management, Government Information, and International Security.""","""Washington""","""nan""",9780160788727,"""United States. Congress. Senate. S. hrg. ; 109-893.""","""iv, 229 p. ; 24 cm.""",0
20,67,a4451,b928,"""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, 2009.""","""Books""",9783642030703,"""Lecture notes in computer science ; 5632,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",1
46,187,a105,b1187,"""Transactions on computational science V : special issue on cognitive knowledge representation""","""Marina L. Gavrilova ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642020971,"""Lecture notes in computer science ; 5540,""","""nan""","""Transactions on computational science XVI ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642326639,"""Lecture notes in computer science ; 7380.""","""1 online resource.""",0
156,683,a1248,b3289,"""Computer algebra in scientific computing : 8th international workshop, CASC 2005, Kalamata, Greece, September 12-16, 2005 ; proceedings""","""Victor G. Ganzha, Ernst W. Mayr, Evgenii V. Vorozhtsov (eds.)""","""Berlin ; New York : Springer, 2005.""","""Books""",9783540289661,"""Lecture notes in computer science. 3718,""","""nan""","""Graph-theoretic concepts in computer science : 41st International Workshop, WG 2015 Garching, Germany, June 17-19, 2015, revised papers  ""","""Mayr, Ernst,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662531747,"""Lecture notes in computer science ; 9224. 0302-9743 Lecture notes in computer science. Advanced research in computing and software science. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiv, 514 pages).""",0
228,925,a4969,b907,"""Transactions on large-scale data- and knowledge-centered systems XXXI special issue on data and security engineering""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662541739,"""Lecture notes in computer science ; 10140,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems X : special issue on database- and expert-systems applications  ""","""Hameurlain, Abdelkader,""","""Berlin ; Springer, Â©2013.""","""Electronic books.""",9783642412219,"""Lecture notes in computer science ; 8220.""","""1 online resource (x, 199 pages).""",0
273,1183,a2515,b376,"""Chemometrics with R : multivariate data analysis in the natural sciences and life sciences""","""Ron Wehrens""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642178412,"""Use R!,""","""nan""","""Chemometrics with R : multivariate data analysis in the natural sciences and life sciences  ""","""Wehrens, Ron.""","""Heidelberg ; Springer, Â©2011.""","""Electronic books.""",9783642178412,"""Use R!""","""1 online resource (xiv, 285 pages)""",1
27,89,a2925,b6680,"""Pattern recognition and machine intelligence : 7th International Conference, PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings""","""B. Uma Shankar, Kuntal Ghosh, Deba Prasad Mandal, Shubhra Sankar Ray, David Zhang, Sankar K. Pal (eds.)""","""Cham : Springer, 2017.""","""Books""",9783319699004,"""Lecture notes in computer science ; 10597,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Information systems design and intelligent applications : proceedings of Third International Conference INDIA 2016. Volume 3  ""","""Satapathy, Suresh Chandra, | Mandal, Jyotsna Kumar, | Udgata, Siba K., | Bhateja, Vikrant,""","""[New Delhi]""","""Electronic books. | Conference papers and proceedings.""",9788132227571,"""Advances in intelligent systems and computing ; 435. 2194-5357""","""1 online resource (xviii, 669 pages)""",0
144,606,a1796,b827,"""Semantic web-based intelligent geospatial web services""","""Peng Yue""","""New York, NY : Springer, 2013.""","""Books""",9781461468097,"""SpringerBriefs in computer science,""","""nan""","""Semantic web-based intelligent geospatial web services  ""","""Yue, Peng""","""New York, NY""","""Electronic books.""",9781461468097,"""SpringerBriefs in computer science.""","""1 online resource (viii, 111 pages)""",1
259,1136,a3061,b99,"""Modeling techniques in predictive analytics : business problems and solutions with R""","""Thomas W. Miller""","""Revised and expanded edition. Upper Saddle River, N.J. : Pearson, [2015] ©2015""","""Books""",9780133886016,"""nan""","""nan""","""Marketing data science : modeling techniques in predictive analytics with R and Python  ""","""Miller, Thomas W.""","""Old Tappan, New Jersey""","""Electronic books.""",9780133887662,"""nan""","""1 online resource""",0
37,138,a4781,b4182,"""ITiCSE 2002 : proceedings of the 7th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, June 24-28, 2002, Aarhus, Denmark""","""conference co-chairs, Michael E. Caspersen, Dan Joyce ; program co-chairs, Don Goelman, Ian Utting ; proceedings editor & ACM coordinator, David Finkel""","""New York : Association for Computing Machinery, [2002] ©2002""","""Books""",9781581134995,"""SIGCSE bulletin. v. 34, no. 3 (Sept. 2002),""","""nan""","""High performance computing in science and engineering '09 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2009  ""","""Nagel, Wolfgang E. | KrÃ¶ner, Dietmar. | Resch, Michael.""","""Berlin ; Springer-Verlag, Â©2010.""","""Electronic books. | Congresses. | Conference proceedings.""",9783642046650,"""nan""","""1 online resource (xii, 551 pages)""",0
97,383,a5426,b592,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
191,805,a5640,b685,"""Transactions on large-scale data- and knowledge-centered systems XXXIII""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Reza Akbarinia, Esther Pacitti (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662556962,"""Lecture notes in computer science ; 10430,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
135,570,a3594,b858,"""Foundations of data organization and algorithms : 4th International Conference, FODO '93, Chicago, Illinois, USA, October 13-15, 1993 : proceedings""","""David B. Lomet, (ed.)""","""Berlin ; New York : Springer-Verlag, [1993] ©1993""","""Books""",9783540573012,"""Lecture notes in computer science ; 730,""","""nan""","""Foundations of data organization and algorithms : 4th International Conference, FODO '93, Chicago, Illinois, USA, October 13-15, 1993 : proceedings  ""","""Lomet, David B.,""","""Berlin ; Springer-Verlag, c1993.""","""Electronic books. | Conference proceedings.""",9783540480471,"""Lecture notes in computer science ; 730. 0302-9743""","""1 online resource (411 p.)""",0
118,512,a120,b4255,"""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, revised selected papers""","""edited by Michael Brenner, Nicolas Christin, Benjamin Johnson, Kurt Rohloff""","""Heidelberg : Springer, 2015.""","""Books""",9783662480519,"""Lecture notes in computer science ; 8976,LNCS sublibrary. Security and cryptology,""","""nan""","""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, Revised Selected Papers  ""","""Brenner, Michael | Christin, Nicolas, | Johnson, Benjamin, | Rohloff, Kurt,""","""Heidelberg""","""Electronic books.""",9783662480519,"""Lecture notes in computer science ; 8976. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 309 pages)""",1
160,700,a1267,b6367,"""Computational intelligence in data mining. Volume 1 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, [2016] ©2016""","""Books""",9788132227342,"""Advances in intelligent systems and computing ; vol. 410,""","""nan""","""Proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015). Volume 1  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225386,"""Smart innovation, systems, and technologies ; 43.""","""1 online resource.""",0
264,1149,a4637,b2090,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 15th China National Conference, CCL 2016, and 4th International Symposium, NLP-NABD 2016, Yantai, China, October 15-16, 2016, Proceedings""","""edited by Maosong Sun, Xuanjing Huang, Hongfei Lin, Zhiyuan Liu, Yang Liu""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319476742,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10035,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information computing and applications : third International Conference, ICICA 2012, Chengde, China, September 14-16, 2012. Proceedings. Part II  ""","""Liu, Chunfeng. | Wang, Leizhen. | Yang, Aimin.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642340413,"""Communications in computer and information science ; 308.""","""1 online resource.""",0
214,878,a2372,b797,"""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings""","""Abdelkader Hameurlain, Franck Morvan, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642151088,"""Lecture notes in computer science ; 6265,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
