,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details
181,181,a340,b846,"""Advances in data mining : applications in medicine, web mining, marketing, image and signal mining : 6th Industrial Conference on Data Mining, ICDM 2006, Leipzig, Germany, July 14-15, 2006 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2006] ©2006""","""Books""",9783540360360,"""Lecture notes in computer science ; 4065,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
182,182,a3494,b846,"""Machine learning and data mining in pattern recognition : 8th International Conference, MLDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642315374,"""Lecture notes in computer science ; 7376,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
183,183,a3512,b846,"""Advances in data mining : applications in image mining, medicine and biotechnology, management and environmental control, and telecommunications : 4th Industrial Conference on Data Mining, ICDM 2004, Leipzig, Germany, July 4-7, 2004 : revised selected papers""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2004] ©2004""","""Books""",9783540240549,"""Lecture notes in computer science ; 3275,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
184,184,a1100,b846,"""Advances in mass data analysis of images and signals in medicine, biotechnology, chemistry and food industry : Third International Conference, MDA 2008 Leipzig, Germany, July 14, 2008 : proceedings""","""Petra Perner, Ovidio Salvetti (eds.)""","""Berlin ; New York : Springer, [2008] ©2008""","""Books""",9783540707141,"""Lecture notes in computer science ; 5108,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
185,185,a3960,b846,"""Advances in data mining : applications and theoretical aspects : 12th Industrial Conference, ICDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642314889,"""Lecture notes in computer science ; 7377,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
186,186,a3973,b846,"""Machine learning and data mining in pattern recognition : 4th international conference, MLDM 2005, Leipzig, Germany, July 9-11, 2005 : proceedings""","""Petra Perner, Atsushi Imiya (eds.)""","""Berlin ; New York : Springer, [2005] ©2005""","""Books""",9783540269236,"""Lecture notes in computer science ; 3587,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
187,187,a3255,b846,"""Machine learning and data mining in pattern recognition : second international workshop, MLDM 2001, Leipzig, Germany, July 25-27, 2001, proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2001] ©2001""","""Books""",9783540423591,"""Lecture notes in computer science ; 2123,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
188,188,a1736,b846,"""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642144004,"""Lecture notes in computer science ; 6171,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
189,189,a4357,b846,"""Machine learning and data mining in pattern recognition : third international conference, MLDM 2003, Leipzig, Germany, July 5-7, 2003, proceedings""","""Petra Perner, Azriel Rosenfeld (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540405047,"""Lecture notes in computer science ; 2734,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
190,190,a4451,b846,"""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, 2009.""","""Books""",9783642030703,"""Lecture notes in computer science ; 5632,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
191,191,a4619,b846,"""Machine learning and data mining in pattern recognition : 7th international conference, MLDM 2011, New York, NY, USA, August 30-September 3, 2011 : proceedings""","""Petra Perner (ed.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642231995,"""Lecture notes in computer science ; 6871,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings  ""","""Perner, Petra.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642144004,"""Lecture notes in computer science ; 6171. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiii, 654 p.)"""
192,192,a4931,b2560,"""Interfaces between computer science and operations research : proceedings of a symposium held at the Mathematisch Centrum, Amsterdam, September 7-10, 1976""","""edited by J. K. Lenstra, A. H. G. Rinnooy Kan, P. van Emde Boas""","""Amsterdam : Mathematisch Centrum, 1978.""","""Books""",9789061961703,"""Mathematical Centre tracts ; 99,""","""nan""","""Computational Techniques in Quantum Chemistry and Molecular Physics : Proceedings of the NATO Advanced Study Institute held at Ramsau, Germany, 4-21 September, 1974  ""","""Diercksen, G. H. F.""","""Dordrecht""","""Electronic books.""",9789401018159,"""NATO advanced study institutes series. Series C, Mathematical and physical sciences ; 15.""","""1 online resource (580 pages)."""
196,196,a1512,b3351,"""Public key cryptography--PKC 2003 : 6th International Workshop on Practice and Theory in Public Key Cryptography, Miami, FL, USA, January 6-8, 2003 : proceedings""","""Yvo G. Desmedt (ed.)""","""Berlin ; New York : Springer, [2002] ©2002""","""Books""",9783540003243,"""Lecture notes in computer science ; 2567,""","""nan""","""Public Key Cryptography "" PKC 2003 : 6th International Workshop on Practice and Theory in Public Key Cryptography Miami, FL, USA, January 6 8, 2003 Proceedings. ""","""Desmedt, Yvo G.""","""Berlin ; Springer-Verlag Berlin Heidelberg, 2002.""","""Electronic books.""",9783540362883,"""Lecture notes in computer science ; 2567, 0302-9743""","""1 online resource."""
198,198,a742,b5328,"""Data structure and software engineering : challenges and improvements""","""[edited by] James L. Antonakos""","""Oakville, Ont. : Apple Academic Press, [2011] ©2011""","""Books""",9781926692975,"""nan""","""nan""","""Data structure and software engineering : challenges and improvements  ""","""Antonakos, James L.""","""Oakville, Ont.""","""nan""",9781926692975,"""nan""","""350 p."""
200,200,a3273,b2792,"""Provable Security : 10th International Conference, ProvSec 2016, Nanjing, China, November 10-11, 2016, Proceedings""","""edited by Liqun Chen, Jinguang Han""","""Cham : Springer International Publishing : Imprint : Springer, 2016.""","""Books""",9783319474229,"""Lecture notes in computer science ; 10005,""","""nan""","""Provable security : 10th International Conference, ProvSec 2016, Nanjing, China, November 10-11, 2016, Proceedings  ""","""Chen, Liqun, | Han, Jinguang,""","""Cham, Switzerland""","""Electronic books.""",9783319474229,"""Lecture notes in computer science ; 10005. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiii, 394 pages)"""
201,201,a1120,b6846,"""Imaging technologies and data processing for food engineers""","""Nesli Sozer, editor""","""Cham : Springer, 2016.""","""Books""",9783319247359,"""Food engineering series,""","""nan""","""Imaging technologies and data processing for food engineers  ""","""Sozer, Nesli,""","""Cham""","""Electronic books.""",9783319247359,"""Food engineering series.""","""1 online resource (x, 353 pages)"""
202,202,a1532,b4501,"""Knowledge discovery, knowledge engineering and knowledge management : 7th International Joint Conference, IC3K 2015, Lisbon, Portugal, November 12-14, 2015, Revised selected papers""","""Ana Fred, Jan L.G. Dietz, David Aveiro, Kecheng Liu, Joaquim Filipe (eds.)""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319527581,"""Communications in computer and information science ; 631,""","""nan""","""Knowledge discovery, knowledge engineering and knowledge management : 6th International Joint Conference, IC3K 2014, Rome, Italy, October 21-24, 2014, revised selected papers  ""","""Fred, Ana, | Dietz, Jan L. G., | Aveiro, David. | Liu, Kecheng. | Filipe, Joaquim.""","""Cham""","""Electronic books.""",9783319258409,"""Communications in computer and information science ; 553. 1865-0929""","""1 online resource (xx, 622 pages)"""
208,208,a2944,b974,"""Geo-spatial knowledge and intelligence : 4th International Conference on Geo-Informatics in Resource Management and Sustainable Ecosystem, GRMSE 2016, Hong Kong, China, November 18-20, 2016, Revised selected papers. Part II""","""Hanning Yuan, Jing Geng, Fuling Bian (eds.)""","""Singapore : Springer, 2017.""","""Books""",9789811039690,"""Communications in computer and information science ; 699,""","""nan""","""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II  ""","""Bian, Fuling, | Xie, Yichun, | Cui, Xiaohui, | Zeng, Yixin,""","""Berlin, Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642419089,"""Communications in computer and information science ; 399.""","""1 online resource (xxiv, 637 pages)"""
209,209,a5418,b974,"""Geo-spatial knowledge and intelligence : 4th International Conference on Geo-Informatics in Resource Management and Sustainable Ecosystem, GRMSE 2016, Hong Kong, China, November 18-20, 2016, Revised selected papers. Part I""","""Hanning Yuan, Jing Geng, Fuling Bian (eds.)""","""Singapore : Springer, 2017.""","""Books""",9789811039669,"""Communications in computer and information science ; 698,""","""nan""","""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II  ""","""Bian, Fuling, | Xie, Yichun, | Cui, Xiaohui, | Zeng, Yixin,""","""Berlin, Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642419089,"""Communications in computer and information science ; 399.""","""1 online resource (xxiv, 637 pages)"""
210,210,a3828,b974,"""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II""","""Fuling Bian ... [and others] (eds.)""","""Berlin, Heidelberg : Springer Berlin Heidelberg : Imprint: Springer, 2013.""","""Books""",9783642419089,"""Communications in computer and information science ; 399,""","""nan""","""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II  ""","""Bian, Fuling, | Xie, Yichun, | Cui, Xiaohui, | Zeng, Yixin,""","""Berlin, Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642419089,"""Communications in computer and information science ; 399.""","""1 online resource (xxiv, 637 pages)"""
211,211,a1671,b974,"""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II""","""Fuling Bian ... [and others] (eds.)""","""Berlin, Heidelberg : Springer Berlin Heidelberg : Imprint: Springer, 2013.""","""Books""",9783642419072,"""Communications in computer and information science ; 399,""","""nan""","""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II  ""","""Bian, Fuling, | Xie, Yichun, | Cui, Xiaohui, | Zeng, Yixin,""","""Berlin, Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642419089,"""Communications in computer and information science ; 399.""","""1 online resource (xxiv, 637 pages)"""
212,212,a4813,b974,"""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part I""","""Fuling Bian ... [and others] (eds.)""","""Berlin, Heidelberg : Springer Berlin Heidelberg : Imprint: Springer, 2013.""","""Books""",9783642450259,"""Communications in computer and information science ; 398,""","""nan""","""Geo-informatics in resource management and sustainable ecosystem : International Symposium, GRMSE 2013, Wuhan, China, November 8-10, 2013, proceedings. Part II  ""","""Bian, Fuling, | Xie, Yichun, | Cui, Xiaohui, | Zeng, Yixin,""","""Berlin, Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642419089,"""Communications in computer and information science ; 399.""","""1 online resource (xxiv, 637 pages)"""
213,213,a3005,b745,"""Methods for experimental design : principles and applications for physicists and chemists""","""Jacques L. Goupy""","""Amsterdam ; New York : Elsevier, 1993.""","""Books""",9780444895295,"""Data handling in science and technology ; v. 12,""","""nan""","""Methods for experimental design : principles and applications for physicists and chemists  ""","""Goupy, Jacques L., 1934-""","""Amsterdam ; Elsevier, 1993.""","""Electronic books.""",9780444895295,"""Data handling in science and technology ; v. 12.""","""1 online resource (xvi, 449 p.)"""
214,214,a3437,b745,"""Methods for experimental design : principles and applications for physicists and chemists""","""Jacques L. Goupy""","""Amsterdam ; New York : Elsevier, 1993.""","""Books""",9780444895295,"""Data handling in science and technology ; v. 12,""","""nan""","""Methods for experimental design : principles and applications for physicists and chemists  ""","""Goupy, Jacques L., 1934-""","""Amsterdam ; Elsevier, 1993.""","""Electronic books.""",9780444895295,"""Data handling in science and technology ; v. 12.""","""1 online resource (xvi, 449 p.)"""
215,215,a3542,b985,"""The commodification of academic research : science and the modern university""","""edited by Hans Radder""","""Pittsburgh, Pennsylvania : University of Pittsburgh Press, [2010] ©2010""","""Books""",9780822977582,"""nan""","""nan""","""The commodification of academic research : science and the modern university  ""","""Radder, Hans.""","""Pittsburgh, Pa.""","""Electronic books.""",9780822977582,"""nan""","""1 online resource (vii, 350 pages)"""
217,217,a3009,b3081,"""Digital watermarking : First International Workshop, IWDW 2002, Seoul, Korea, November 21-22, 2002 : revised papers""","""Fabien A.P. Petitcolas, Hyoung Joong Kim, (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540012177,"""Lecture notes in computer science ; 2613,""","""nan""","""Digital watermarking : 6th International Workshop, IWDW 2007, Guangzhou, China, December 3-5, 2007, proceedings  ""","""Shi, Yun Q. | Kim, Hyoung Joong, | Katzenbeisser, Stefan.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783540922384,"""Lecture notes in computer science ; 5041. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource."""
220,220,a225,b2124,"""Proceedings of the Eleventh International Conference on Management Science and Engineering Management""","""Jiuping Xu, Mitsuo Gen, Asaf Hajiyev, Fang Lee Cooke, editors""","""Cham, Switzerland : Springer, [2018] ©2018""","""Books""",9783319592800,"""Lecture notes on multidisciplinary industrial engineering,""","""nan""","""Proceedings of the sixth International Conference on Management Science and Engineering Management : focused on electrical and information technology  ""","""Xu, Jiuping | Yasinzai, Masoom, | Lev, Benjamin.""","""London ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9781447146001,"""Lecture notes in electrical engineering ; v.185.""","""1 online resource."""
221,221,a525,b3118,"""Adaptive processing of sequences and data structures : International Summer School on Neural Networks ""E.R. Caianiello"" Vietri sul Mare, Salerno, Italy September 6-13, 1997 : tutorial lectures""","""C. Lee Giles, Marco Gori (eds.)""","""Berlin ; New York : Springer, [1998] ©1998""","""Books""",9783540643418,"""Lecture notes in computer science ; 1387,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Adaptive Processing of Sequences and Data Structures : International Summer School on Neural Networks (3z (BE. R. Caianiello (3y (B Vietri sul Mare, Salerno, Italy September...""","""Giles, C. Lee. | Gori, Marco.""","""Berlin ; Springer-Verlag, 1998.""","""Electronic books.""",9783540697527,"""Lecture notes in computer science ; 1387, 0302-9743""","""1 online resource."""
223,223,a3434,b2929,"""Information systems development and data modeling : conceptual and philosophical foundations""","""Rudy Hirschheim, Heinz K. Klein, Kalle Lyytinen""","""Cambridge <England> ; New York : Cambridge University Press, 1995.""","""Books""",9780521373692,"""nan""","""nan""","""Information Systems Development and Data Modeling : Conceptual and Philosophical Foundations  ""","""Hirschheim, R. A. | Klein, Heinz K. | Lyytinen, Kalle.""","""Cambridge""","""Electronic books.""",9780511895425,"""nan""","""1 online resource (304 pages)"""
229,229,a4290,b452,"""Statistical computing with R""","""Maria L. Rizzo""","""Boca Raton : Chapman & Hall/CRC, [2008] ©2008""","""Books""",9781584885450,"""Series in computer science and data analysis,""","""nan""","""Statistical computing with R  ""","""Rizzo, Maria L.""","""Boca Raton""","""nan""",9781584885450,"""Series in computer science and data analysis.""","""xvi, 399 pages"""
230,230,a4387,b3418,"""Applied algebra, algebraic algorithms and error-correcting codes : 12th international symposium, AAECC-12, Toulouse, France, June 23-27, 1997 : proceedings""","""Teo Mora, Harold Mattson (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540631637,"""Lecture notes in computer science. 1255,""","""nan""","""Applied algebra, algebraic algorithms and error-correcting codes : 6th International Conference, AAECC-6, Rome, Italy, July 4-8, 1988 : proceedings  ""","""Mora, Teo.""","""Berlin [etc.]""","""Electronic books.""",9783540461524,"""Lecture notes in computer science ; 357. 1611-3349""","""1 online resource (ix, 480 p.)"""
231,231,a3058,b1626,"""Advances in computer science, environment, ecoinformatics, and education. Part IV : International Conference, CSEE 2011, Wuhan, China, August 21-22, 2011, Proceedings""","""Song Lin, Xiong Huang (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642233395,"""Communications in computer and information science ; 217,""","""nan""","""Advances in computer science and education ""","""Xie, Anne. | Huang, Xiong.""","""Heidelberg [Germany]""","""Electronic books.""",9783642279454,"""Advances in intelligent and soft computing ; 140. 1867-5662""","""1 online resource (xvi, 480 pages)"""
232,232,a930,b1626,"""Advances in computer science, environment, ecoinformatics, and education. Part V : International Conference, CSEE 2011, Wuhan, China, August 21-22, 2011, proceedings""","""Song Lin, Xiong Huang (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642233579,"""Communications in computer and information science ; 218,""","""nan""","""Advances in computer science and education ""","""Xie, Anne. | Huang, Xiong.""","""Heidelberg [Germany]""","""Electronic books.""",9783642279454,"""Advances in intelligent and soft computing ; 140. 1867-5662""","""1 online resource (xvi, 480 pages)"""
233,233,a1190,b1626,"""Advances in computer science, environment, ecoinformatics, and education. Part III : International Conference, CSEE 2011, Wuhan, China, August 21-22, 2011, proceedings""","""Song Lin, Xiong Huang (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642233456,"""Communications in computer and information science ; 216,""","""nan""","""Advances in computer science and education ""","""Xie, Anne. | Huang, Xiong.""","""Heidelberg [Germany]""","""Electronic books.""",9783642279454,"""Advances in intelligent and soft computing ; 140. 1867-5662""","""1 online resource (xvi, 480 pages)"""
234,234,a2808,b5888,"""Strategies for preservation of and open access to scientific data in China : summary of a workshop""","""Paul F. Uhlir and Julie M. Esanu, rapporteurs ; U.S. National Committee for CODATA, Board on International Scientific Organizations, National Research Council of the National Academies""","""Washington, DC : National Academies Press, [2006] ©2006""","""Books""",9780309102308,"""nan""","""nan""","""Retrieval of medicinal chemical information : based on a symposium cosponsored by the Divisions of Computers in Chemistry and Chemical Information at the 175th meeting of the...""","""Howe, W. Jeffrey | Milne, Margaret M., | Pennell, Ann F.,""","""Washington, D.C.""","""Electronic books. | Congresses. | Conference papers and proceedings.""",9780841205765,"""ACS symposium series ; 84.""","""1 online resource (viii, 231 pages)."""
236,236,a4059,b5888,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003] ©2003""","""Books""",9780309088503,"""nan""","""nan""","""Retrieval of medicinal chemical information : based on a symposium cosponsored by the Divisions of Computers in Chemistry and Chemical Information at the 175th meeting of the...""","""Howe, W. Jeffrey | Milne, Margaret M., | Pennell, Ann F.,""","""Washington, D.C.""","""Electronic books. | Congresses. | Conference papers and proceedings.""",9780841205765,"""ACS symposium series ; 84.""","""1 online resource (viii, 231 pages)."""
247,247,a3508,b4627,"""Genetic algorithms + data structures = evolution programs""","""Zbigniew Michalewicz""","""Berlin ; New York : Springer-Verlag, [1992] ©1992""","""Books""",9783540553878,"""Artificial intelligence (Berlin, Germany),""","""nan""","""Genetic algorithms + data structures = evolution programs  ""","""Michalewicz, Zbigniew.""","""Berlin ; Springer-Verlag, Â©1992.""","""Electronic books.""",9783662028308,"""Artificial intelligence (Berlin, Germany)""","""1 online resource (xiv, 250 pages)"""
248,248,a2960,b3158,"""Geosciences and Water Resources: Environmental Data Modeling""","""edited by Claude Bardinet, Jean-Jacques Royer""","""Berlin, Heidelberg : Springer Berlin Heidelberg, 1997.""","""Books""",9783642606274,"""Data and knowledge in a changing world,""","""nan""","""Geosciences and Water Resources: Environmental Data Modeling ""","""Bardinet, Claude.""","""Berlin, Heidelberg""","""Electronic books.""",9783642606274,"""Data and knowledge in a changing world.""","""1 online resource (xxiv, 312 pages)"""
249,249,a5397,b570,"""Data Management Technologies and Applications 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised Selected Papers""","""edited by Chiara Francalanci, Markus Helfert""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319629117,"""Communications in computer and information science ; 737,""","""nan""","""Data management technologies and applications : 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised selected papers  ""","""Francalanci, Chiara, | Helfert, Markus,""","""Cham, Switzerland""","""Electronic books.""",9783319629117,"""Communications in computer and information science ; 737. 1865-0929""","""1 online resource (xi, 179 pages)"""
250,250,a1364,b570,"""Computer supported education : 7th International Conference, CSEDU 2015 Lisbon, Portugal, May 23-25, 2015, revised selected papers""","""Susan Zvacek, Maria Teresa Restivo, James Uhomoibhi, Markus Helfert (eds.)""","""Cham : Springer, 2016. ©2016""","""Books""",9783319295855,"""Communications in computer and information science ; 583,""","""nan""","""Data management technologies and applications : 5th International Conference, DATA 2016, Colmar, France, July 24-26, 2016, Revised selected papers  ""","""Francalanci, Chiara, | Helfert, Markus,""","""Cham, Switzerland""","""Electronic books.""",9783319629117,"""Communications in computer and information science ; 737. 1865-0929""","""1 online resource (xi, 179 pages)"""
251,251,a5123,b716,"""Transactions on large-scale data- and knowledge-centered systems XXIV : special issue on database- and expert-systems applications""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Hendrik Decker, Lenka Lhotska, Sebastian Link (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662492147,"""Lecture notes in computer science ; 9510,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXXIV : special issue on consistency and inconsistency in data-centric applications  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland, | Decker, Hendrik,""","""Berlin, Germany""","""Electronic books.""",9783662559475,"""Lecture notes in computer science ; 10620. 0302-9743""","""1 online resource (ix, 185 pages)"""
