,_id,ltable_ID_x,rtable_ID_x,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details
96,390,a4351,b188,"""Presentation of data in science : publications, slides, posters, overhead projections, tape slides, television : principles and practices for authors and teachers""","""by Linda Reynolds and Doig Simmonds""","""The Hague ; Boston : M. Nijhoff ; Boston : distributors for the United States and Canada, Kluwer Boston, 1981.""","""Books""",9024723981,"""nan""","""nan""","""Presentation of Data in Science : Publications, slides, posters, overhead projections, tape-slides, television Principles and practices for authors and teachers  ""","""Reynolds, Linda.""","""Dordrecht""","""Electronic books.""",9789400983540,"""nan""","""1 online resource (232 pages)"""
97,391,a1288,b190,"""Optimization and applications in control and data sciences : in honor of Boris T. Polyak's 80th birthday""","""Boris Goldengorin, editor""","""Switzerland : Springer, 2016.""","""Books""",9783319420561,"""Springer optimization and its applications ; v. 115,""","""nan""","""Optimization and applications in control and data sciences : in honor of Boris T. Polyak's 80th birthday  ""","""Goldengorin, Boris, | Poliï¸ aï¸¡k, B. T.""","""Switzerland""","""Electronic books.""",9783319420561,"""Springer optimization and its applications ; v. 115.""","""1 online resource."""
98,394,a3620,b194,"""Statistical learning and data sciences : third International Symposium, SLDS 2015, Egham, UK, April 20-23, 2015, proceedings""","""Alexander Gammerman, Vladimir Vovk, Harris Papadopoulos (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319170916,"""Lecture notes in computer science ; 9047,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,""","""nan""","""Statistical learning and data sciences : third International Symposium, SLDS 2015, Egham, UK, April 20-23, 2015, Proceedings  ""","""Gammerman, A. | Vovk, Vladimir, | Papadopoulos, Harris,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319170916,"""LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence ; 9047.""","""1 online resource (xiv, 444 pages)"""
99,408,a1688,b195,"""Advances in computing and data sciences : first International Conference, ICACDS 2016, Ghaziabad, India, November 11-12, 2016, Revised selected papers""","""Mayank Singh, P.K. Gupta, Vipin Tyagi, Arun Sharma, Tuncer Ören, William Grosky (eds.)""","""Singapore : Springer, 2017.""","""Books""",9789811054273,"""Communications in computer and information science ; 721,""","""nan""","""Advances in computing and data sciences : first International Conference, ICACDS 2016, Ghaziabad, India, November 11-12, 2016, Revised selected papers  ""","""Singh, Mayank, | Gupta, P. K. | Tyagi, Vipin, | Sharma, Arun, | Ãren, Tuncer I., | Grosky, William,""","""Singapore""","""Electronic books.""",9789811054273,"""Communications in computer and information science ; 721. 1865-0929""","""1 online resource (xxiv, 638 pages)"""
100,416,a1150,b198,"""Multivariate analysis of data in sensory science""","""edited by Tormod Naes and Einar Risvik""","""Amsterdam ; New York : Elsevier, 1996.""","""Books""",9780444899569,"""Data handling in science and technology ; v. 16,""","""nan""","""Multivariate analysis of data in sensory science ""","""NÃ¦s, Tormod. | Risvik, Einar.""","""Amsterdam ; Elsevier, 1996.""","""Electronic books.""",9780444899569,"""Data handling in science and technology ; v. 16.""","""1 online resource (xvi, 348 p.)"""
101,417,a4929,b198,"""Multivariate analysis of data in sensory science""","""edited by Tormod Næs and Einar Risvik""","""Amsterdam ; New York : Elsevier, 1996.""","""Books""",9780444899569,"""Data handling in science and technology ; v. 16,""","""nan""","""Multivariate analysis of data in sensory science ""","""NÃ¦s, Tormod. | Risvik, Einar.""","""Amsterdam ; Elsevier, 1996.""","""Electronic books.""",9780444899569,"""Data handling in science and technology ; v. 16.""","""1 online resource (xvi, 348 p.)"""
102,427,a1761,b199,"""Using the American community survey for the National Science Foundation's science and engineering workforce statistics programs""","""Panel on Assessing the Benefits of the American Community Survey for the NSF Division of Resources Statistics, Committee on National Statistics, Division of Behavioral and Social Sciences Education, National Research Council of the National Academies""","""Washington, DC : National Academies Press, [2008] ©2008""","""Books""",9780309121545,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
103,438,a3225,b199,"""Communicating science and engineering data in the information age""","""Panel on Communicating National Science Foundation Science and Engineering Information to Data Users ; Committee on National Statistics, Division of Behavioral and Social Sciences and Education ; Computer Science and Telecommunications Board, Division on Engineering and Physical Sciences ; National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2012] ©2012""","""Books""",9780309222105,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
104,441,a3818,b199,"""Communicating National Science Foundation Science and engineering information to data users : letter report""","""Panel on Communicating NSF Science and Engineering Information to Data Users, National Research Council""","""Washington, DC : National Academies Press, 2011.""","""Books""",9780309210034,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
105,452,a5333,b199,"""Preventing and mitigating AIDS in Sub-Saharan Africa : research and data priorities for the social and behavioral sciences""","""Barney Cohen and James Trussell, editors ; Panel on Data and Research Priorities for Arresting AIDS in Sub-Saharan Africa, Committee on Population, Commission on Behavioral and Social Sciences and Education, National Research Council""","""Washington, DC : National Academy Press, 1996.""","""Books""",9780309054805,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
106,457,a195,b199,"""The potential impact of high-end capability computing on four illustrative fields of science and engineering""","""Committee on the Potential Impact of High-End Computing on Illustrative Fields of Science and Engineering, Division on Engineering and Physical Sciences, Division on Earth and Life Sciences""","""Washington, DC : National Academies Press, [2008] ©2008""","""Books""",9780309124850,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
107,460,a671,b199,"""The potential impact of high-end capability computing on four illustrative fields of science and engineering""","""Committee on the Potential Impact of High-End Computing on Illustrative Fields of Science and Engineering, Division on Engineering and Physical Sciences, Division on Earth and Life Sciences""","""Washington, DC : National Academies Press, [2008] ©2008""","""Books""",9780309124867,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
108,480,a2270,b199,"""Ensuring the integrity, accessibility, and stewardship of research data in the digital age""","""Committee on Ensuring the Utility and Integrity of Research Data in a Digital Age, Committee on Science, Engineering, and Public Policy""","""Washington, D.C. : National Academies Press, [2009] ©2009""","""Books""",9780309136846,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
109,483,a2417,b199,"""The potential impact of high-end capability computing on four illustrative fields of science and engineering""","""Committee on the Potential Impact of High-End Computing on Illustrative Fields of Science and Engineering, Division on Engineering and Physical Sciences, Division on Earth and Life Sciences""","""Washington, DC : National Academies Press, c2008. Washington, DC : National Academies Press, c2008.""","""Books""",9786611972912,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
110,492,a2903,b199,"""Using data sharing to improve coordination in peacebuilding : report of a workshop by the National Academy of Engineering and United States Institute of Peace Roundtable on Technology, Science, and Peacebuilding""","""Andrew Robertson and Steve Olson, Rapporteurs ; National Academy of Engineering of the National Academies, United States Institute of Peace""","""Washington, D.C. : National Academies Press, [2012] ©2012""","""Books""",9780309265140,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
111,496,a3090,b199,"""Assessment of the usefulness and availability of NASA's earth and space science mission data""","""Task Group on the Usefulness and Availability of NASA's Space Mission Data, Space Studies Board, Division on Engineering and Physical Sciences, Board on Earth Science and Resources, Division on Earth and Life Studies, National Research Council""","""Washington, D.C. : National Academy Press, c2002.""","""Books""",9780309581431,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
112,525,a4315,b199,"""The quality of science and engineering at the NNSA National Security Laboratories""","""Committee to Review the Quality of the Management and of the Science and Engineering Research at the Department of Energy's National Security Laboratories--Phase II, Laboratory Assessment Board, Division on Engineering and Physical Sciences, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2013] ©2013""","""Books""",9780309290913,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
113,528,a4478,b199,"""Enabling America assessing the role of rehabilitation science and engineering""","""Edward N. Brandt, Jr., and Andrew M. Pope, editors ; Committee on Assessing Rehabilitation Science and Engineering, Division of Health Sciences Policy, Institute of Medicine""","""Washington, D.C. : National Academy Press, 1997.""","""Books""",9780309518222,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
114,530,a4556,b199,"""Future directions for NSF advanced computing infrastructure to support U.S. science and engineering in 2017-2020 : interim report""","""Committee on Future Directions for NSF Advanced Computing Infrastructure to Support U.S. Science in 2017-2020 ; Computer Science and Telecommunications Board ; Division on Engineering and Physical Sciences ; National Research Council of the National Academies""","""Washington, D.C. : The National Academies Press, [2014] ©2014""","""Books""",9780309313803,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
115,531,a4571,b199,"""Ensuring the integrity, accessibility, and stewardship of research data in the digital age""","""Committee on Ensuring the Utility and Integrity of Research Data in a Digital Age, Committee on Science, Engineering, and Public Policy""","""Washington, DC : National Academies Press, [2009] ©2009""","""Books""",9780309136808,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
116,537,a4894,b199,"""Using data sharing to improve coordination in peacebuilding : report of a workshop by the National Academy of Engineering and the United States Institute of Peace, Roundtable on Technology, Science, and Peacebuilding""","""Andrew Robertson and Steve Olson, rapporteurs ; National Academy of Engineering of the National Academies ; United States Institute of Peace""","""Washington, DC : The National Academies Press, [2012] ©2012""","""Books""",9780309265140,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
117,550,a5650,b199,"""Future directions for NSF advanced computing infrastructure to support U.S. science and engineering in 2017-2020""","""Committee on Future Directions for NSF Advanced Computing Infrastructure to Support U.S. Science in 2017-2020 ; Computer Science and Telecommunications Board ; Division on Engineering and Physical Sciences ; the National Academies of Sciences, Engineering, Medicine""","""Washington, DC : The National Academies Press, [2016] ©2016""","""Books""",9780309389617,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
118,561,a553,b199,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003]""","""Books""",9780309525459,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
119,598,a2540,b199,"""Sharing publication-related data and materials : responsibilities of authorship in the life sciences""","""Committee on Responsibilities of Authorship in the Biological Sciences, Board on Life Sciences, Division on Earth and Life Studies, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, 2003.""","""Books""",9780309088596,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
120,611,a2980,b199,"""Exposure science in the 21st century : a vision and a strategy""","""Committee on Human and Environmental Exposure Science in the 21st Century, Board on Environmental Studies and Toxicology, Division on Earth and Life Studies, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2012] ©2012""","""Books""",9780309264693,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
121,621,a3530,b199,"""Sharing publication-related data and materials : responsibilities of authorship in the life sciences""","""Committee on Responsibilities of Authorship in the Biological Sciences, Board on Life Sciences, Division on Earth and Life Studies, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, 2003.""","""Books""",9780309088596,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
122,623,a3643,b199,"""A survey of attitudes and actions on dual use research in the life sciences : a collaborative effort of the National Research Council and the American Association for the Advancement of Science""","""Committee on Assessing Fundamental Attitudes of Life Scientists as a Basis for Biosecurity Education, [and] Development, Security and Cooperation Policy and Global Affairs, [and] Board on Life Sciences Division on Earth and Life Studies, National Research Council of the National Academies, in collaboration with AAAS""","""Washington, D.C. : National Academies Press, [2009] ©2009""","""Books""",9780309125116,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
123,628,a4059,b199,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003] ©2003""","""Books""",9780309088503,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
124,665,a2530,b199,"""Inventory of data sources in science and technology : a preliminary survey""","""CODATA, Committee on Data for Science and Technology of the International Council of Scientific Unions""","""Paris : Unesco, 1982.""","""Books""",9789231020483,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
125,674,a1647,b199,"""Data catalogue : guide to the Survey Archive's social science data holdings and allied services""","""Social Science Research Council, Survey Archive, University of Essex""","""Colchester, [Eng.] : The Archive, [1980]""","""Books""",9780906805008,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
126,680,a4270,b199,"""Science and technology in the academic enterprise : status, trends, and issues : a discussion paper""","""The Government-University-Industry Research Roundtable, Working Group on the Academic Research Enterprise""","""Washington, D.C. : National Academy Press : [Available from the Roundtable], 1989.""","""Books""",9780309041751,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
127,693,a1527,b199,"""Emerging frameworks and methods : CoLIS 4 : proceedings of the Fourth International Conference on Conceptions of Library and Information Science, Seattle, WA, USA, July 21-25, 2002""","""organized by the Information School, University of Washington in cooperation with Department of Information Studies, University of Tampere, Finland [and] Royal School of Library and Information Science, Denmark [and] American Society for Information Science and Technology ; editors, Harry Bruce ... [and others]""","""Greenwood Village, Colo. : Libraries Unlimited, 2002.""","""Books""",9781591580164,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
128,735,a3582,b199,"""Technology, scholarship, and the humanities : the implications of electronic information : September 30-October 2, 1992, Arnold and Mabel Beckman Center of the National Academies of Sciences and Engineering, Irvine, California : summary of proceedings""","""sponsoring organizations, the Getty Art History Information Program ... [and others]""","""Santa Monica, CA : The Program, [1993] ©1993""","""Books""",9780963279217,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
129,736,a5174,b199,"""Nursing uses of computers and information science : proceedings of the IFIP-IMIA International Symposium on Nursing Uses of Computers and Information Science, Calgary, Alberta, Canada, 1-3 May 1985""","""edited by Kathryn J. Hannah, Evelyn J. Guillemin, and Dorothy N. Conklin ; organized by the International Medical Informatics Association (IMIA), a special interest group of the International Federation for Information Processing (IFIP), with the support of the Conference Office of the University of Calgary""","""Amsterdam ; New York : North-Holland ; New York, N.Y., U.S.A. : Sole distributors for the U.S.A. and Canada, Elsevier Science Pub. Co., 1985.""","""Books""",9780444879042,"""nan""","""nan""","""Communicating science and engineering data in the information age  ""","""National Research Council (U.S.). Panel on Communicating National Science Foundation Science and Engineering Information to Data Users.""","""Washington, D.C.""","""Electronic books.""",9780309222105,"""nan""","""1 online resource (xiv, 106 pages)"""
130,742,a2008,b200,"""Data mining for the social sciences : an introduction""","""Paul Attewell and David B. Monaghan""","""Oakland, California : University of California Press, 2015. ©2015""","""Books""",9780520960596,"""nan""","""nan""","""Data mining for the social sciences : an introduction  ""","""Attewell, Paul A., 1949-""","""Oakland, California""","""Electronic books.""",9780520960596,"""nan""","""1 online resource."""
131,743,a2321,b200,"""Data mining for the social sciences : an introduction""","""Paul Attewell and David B. Monaghan ; with Darren Kwong""","""Oakland, California : University of California Press, [2015]""","""Books""",9780520280977,"""nan""","""nan""","""Data mining for the social sciences : an introduction  ""","""Attewell, Paul A., 1949-""","""Oakland, California""","""Electronic books.""",9780520960596,"""nan""","""1 online resource."""
132,751,a5595,b202,"""Data mining techniques for the life sciences""","""edited by Oliviero Carugo, Frank Eisenhaber""","""New York, N.Y. : Humana Press, [2010] ©2010""","""Books""",9781603272407,"""Springer protocols (Series),Methods in molecular biology (Clifton, N.J.) ; v. 609,""","""nan""","""Data mining techniques for the life sciences ""","""Carugo, Oliviero. | Eisenhaber, Frank.""","""New York, N.Y.""","""Electronic books.""",9781603272414,"""Springer protocols (Series) Methods in molecular biology (Clifton, N.J.) ; v. 609. 1064-3745""","""1 online resource (xii, 407 p.)"""
133,755,a1420,b207,"""Data analysis in forensic science : a Bayesian decision perspective""","""Franco Taroni [and others]""","""Chichester : John Wiley and Sons, ©2010.""","""Books""",9780470665084,"""Statistics in practice,""","""nan""","""Data analysis in forensic science : a Bayesian decision perspective  ""","""Taroni, Franco.""","""Chichester""","""Electronic books.""",9780470665084,"""Statistics in practice.""","""1 online resource (xvii, 369 p.)."""
134,756,a2592,b207,"""Data analysis in forensic science : a Bayesian decision perspective""","""Franco Taroni ... [and others]""","""Chichester, West Sussex, UK : John Wiley, 2010.""","""Books""",9780470998359,"""Statistics in practice,""","""nan""","""Data analysis in forensic science : a Bayesian decision perspective  ""","""Taroni, Franco.""","""Chichester""","""Electronic books.""",9780470665084,"""Statistics in practice.""","""1 online resource (xvii, 369 p.)."""
135,760,a5596,b209,"""Data integration in the life sciences : 6th international workshop, DILS 2009, Manchester, UK, July 20-22, 2009 ; proceedings""","""Norman W. Paton, Paolo Missier, Cornelia Hedeler (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642028793,"""Lecture notes in computer science ; 5647,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,""","""nan""","""Data integration in the life sciences : 6th international workshop, DILS 2009, Manchester, UK, July 20-22, 2009 : proceedings  ""","""Paton, Norman W. | Missier, Paolo. | Hedeler, Cornelia.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642028793,"""Lecture notes in computer science ; 5647. LNCS sublibrary. SL 8, Bioinformatics. Lecture notes in computer science. Lecture notes in bioinformatics.""","""1 online resource (x, 219 pages)"""
136,763,a607,b212,"""Measurement and data analysis for engineering and science""","""Patrick F. Dunn, University of Notre Dame, Indiana, USA""","""Third edition. Boca Raton : CRC Press, Taylor & Francis, 2014. © 2015""","""Books""",9781466595033,"""nan""","""nan""","""Measurement and data analysis for engineering and science  ""","""Dunn, Patrick F.""","""Boca Raton, FL""","""Electronic books.""",9781466595033,"""nan""","""1 online resource (xv, 608 pages)"""
137,764,a904,b212,"""Measurement and data analysis for engineering and science""","""Patrick F. Dunn""","""Boston : McGraw-Hill Higher Education, [2005] ©2005""","""Books""",9780072825381,"""McGraw-Hill series in mechanical engineering,McGraw-Hill series in mechanical and aerospace engineering,""","""nan""","""Measurement and data analysis for engineering and science  ""","""Dunn, Patrick F.""","""Boca Raton, FL""","""Electronic books.""",9781466595033,"""nan""","""1 online resource (xv, 608 pages)"""
138,765,a4749,b212,"""Measurement and data analysis for engineering and science""","""Patrick F. Dunn""","""Second edition. Boca Raton, FL : CRC Press/Taylor & Francis, [2010] ©2010""","""Books""",9781439825686,"""nan""","""nan""","""Measurement and data analysis for engineering and science  ""","""Dunn, Patrick F.""","""Boca Raton, FL""","""Electronic books.""",9781466595033,"""nan""","""1 online resource (xv, 608 pages)"""
139,766,a5239,b212,"""Measurement and data analysis for engineering and science""","""Patrick F. Dunn, University of Notre Dame, Indiana, USA""","""Third edition. Boca Raton : CRC Press, Taylor & Francis, [2014]""","""Books""",9781466594968,"""nan""","""nan""","""Measurement and data analysis for engineering and science  ""","""Dunn, Patrick F.""","""Boca Raton, FL""","""Electronic books.""",9781466595033,"""nan""","""1 online resource (xv, 608 pages)"""
140,777,a3410,b214,"""Analysis of multivariate social science data""","""David J. Bartholomew ... [and others]""","""Second edition. Boca Raton : CRC Press, [2008] ©2008""","""Books""",9781584889601,"""Statistics in the social and behavioral sciences series,""","""nan""","""Analysis of multivariate social science data  ""","""Bartholomew, David J.""","""Boca Raton""","""nan""",9781584889601,"""Statistics in the social and behavioral sciences series.""","""xi, 371 p."""
141,790,a3715,b220,"""Categorical data analysis for the behavioral and social sciences""","""Razia Azen, Cindy M. Walker""","""New York : Routledge, [2011] ©2011""","""Books""",9780203843611,"""nan""","""nan""","""Categorical data analysis for the behavioral and social sciences  ""","""Azen, Razia, 1969-""","""New York""","""Electronic books.""",9780203843611,"""nan""","""1 online resource (xii, 283 pages)"""
142,791,a4392,b220,"""Categorical data analysis for the behavioral and social sciences""","""Razia Azen, Cindy M. Walker""","""New York : Routledge, [2011] ©2011""","""Books""",9781848728363,"""nan""","""nan""","""Categorical data analysis for the behavioral and social sciences  ""","""Azen, Razia, 1969-""","""New York""","""Electronic books.""",9780203843611,"""nan""","""1 online resource (xii, 283 pages)"""
143,793,a272,b224,"""Research in the biomedical sciences : transparent and reproducible""","""edited by Michael Williams, Michael J. Curtis, Kevin Mullane""","""London : Academic Press, [2018] ©2018""","""Books""",9780128047262,"""nan""","""nan""","""Introduction to quantitative data analysis in the behavioral and social sciences ""","""Albers, Michael J.""","""Somerset""","""Electronic books.""",9781119290384,"""nan""","""1 online resource (256 p.)"""
144,795,a353,b224,"""Introduction to quantitative data analysis in the behavioral and social sciences""","""Michael J. Albers""","""Somerset : John Wiley & Sons, Incorporated, 2017.""","""Books""",9781119290384,"""nan""","""nan""","""Introduction to quantitative data analysis in the behavioral and social sciences ""","""Albers, Michael J.""","""Somerset""","""Electronic books.""",9781119290384,"""nan""","""1 online resource (256 p.)"""
145,808,a4286,b224,"""The Social sciences : the supply of and demand for documentation and data : a report to Unesco""","""edited by J. Michael Brittain""","""London : Rossendale, 1982.""","""Books""",9780946138005,"""nan""","""nan""","""Introduction to quantitative data analysis in the behavioral and social sciences ""","""Albers, Michael J.""","""Somerset""","""Electronic books.""",9781119290384,"""nan""","""1 online resource (256 p.)"""
146,817,a3930,b225,"""Decision support systems in nursing : including proceedings from the third International Symposium on Nursing Use of Computers and Information Science, hosted by the Irish Nursing Board, Killarney, Ireland, June 24-27, 1988""","""editors, Judy G. Ozbolt, Denis Vandewal, and Kathryn J. Hannah""","""St. Louis : Mosby, 1990.""","""Books""",9780801632365,"""nan""","""nan""","""Statistics of earth science data : their distribution in time, space, and orientation  ""","""Borradaile, G. J.""","""Berlin ; New York""","""Electronic books.""",9783662052235,"""nan""","""1 online resource (xxvii, 351 pages)"""
