,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,jaccard
5364,5364,a4273,b722,"""transactions on large-scale data- and knowledge-centered systems xxviii : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, qimin chen (eds.)""","""berlin : springer, 2016.""","""books""",9783662534557,"""lecture notes in computer science ; 9940,""","""nan""","""transactions on large-scale data- and knowledge-centered systems xviii : special issue on database- and expert-systems applications""","""hameurlain, abdelkader,""","""heidelberg""","""electronic books.""",9783662464854,"""lecture notes in computer science ; 8980. 0302-9743""","""1 online resource (xi, 207 pages)""",0.8666666666666667
5367,5367,a5123,b722,"""transactions on large-scale data- and knowledge-centered systems xxiv : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, hendrik decker, lenka lhotska, sebastian link (eds.)""","""berlin : springer, 2016.""","""books""",9783662492147,"""lecture notes in computer science ; 9510,""","""nan""","""transactions on large-scale data- and knowledge-centered systems xviii : special issue on database- and expert-systems applications""","""hameurlain, abdelkader,""","""heidelberg""","""electronic books.""",9783662464854,"""lecture notes in computer science ; 8980. 0302-9743""","""1 online resource (xi, 207 pages)""",0.8666666666666667
5376,5376,a4645,b724,"""quality-aware scheduling for key-value data stores""","""chen xu, aoying zhou""","""heidelberg : springer, 2015.""","""books""",9783662473061,"""springerbriefs in computer science,""","""nan""","""quality-aware scheduling for key-value data stores""","""xu, chen""","""heidelberg""","""electronic books.""",9783662473061,"""springerbriefs in computer science.""","""1 online resource (xi, 97 pages)""",1.0
5383,5383,a1371,b726,"""database machines : sixth international workshop, iwdm '89, deauville, france, june 1989 : proceedings""","""h. boral, p. faudemay, eds""","""berlin ; new york : springer-verlag, [1989] ©1989""","""books""",9780387513249,"""lecture notes in computer science ; 368,""","""nan""","""database machines : sixth international workshop, iwdm '89, deauville, france, june 19-21, 1989 : proceedings""","""boral, h. | faudemay, p.""","""berlin ; springer-verlag, â©1989.""","""electronic books. | conference proceedings.""",9783540461975,"""lecture notes in computer science ; 368.""","""1 online resource (vi, 386 pages)""",0.9285714285714286
5388,5388,a1176,b727,"""privacy, big data, and the public good : frameworks for engagement""","""edited by julia lane, american institutes for research, washington dc, victoria stodden, columbia university, stefan bender, institute for employment research of the german federal employment agency, helen nissenbaum, new york university""","""new york, ny : cambridge university press, 2014.""","""books""",9781107067356,"""nan""","""nan""","""privacy, big data, and the public good : frameworks for engagement""","""lane, julia i.""","""new york, ny""","""nan""",9781107067356,"""nan""","""xix, 322 pages ; 24 cm""",1.0
5390,5390,a4350,b728,"""space-efficient data structures, streams, and algorithms : papers in honor of j. ian munro on the occasion of his 66th birthday""","""andrej brodnik, alejandro lópez-ortiz, venkatesh raman, alfredo viola (eds.)""","""heidelberg : springer, 2013.""","""books""",9783642402739,"""lecture notes in computer science ; 8066,lncs sublibrary. theoretical computer science and general issues,""","""nan""","""space-efficient data structures, streams, and algorithms : papers in honor of j. ian munro on the occasion of his 66th birthday""","""munro, j. ian, | brodnik, andrej,""","""heidelberg""","""electronic books. | conference papers and proceedings.""",9783642402739,"""lecture notes in computer science ; 8066. lncs sublibrary. sl 1, theoretical computer science and general issues.""","""1 online resource (xxxviii, 363 pages)""",1.0
5399,5399,a123,b730,"""advances in intelligent data analysis ix : 9th international symposium, ida 2010, tucson, az, usa, may 19-21, 2010 ; proceedings""","""paul r. cohen, niall m. adams, michael r. berthold (eds.)""","""berlin ; new york : springer, [2010] ©2010""","""books""",9783642130618,"""lecture notes in computer science ; 6065,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""nan""","""advances in intelligent data analysis ix : 9th international symposium, ida 2010, tucson, az, usa, may 19-21, 2010 : proceedings""","""cohen, paul r. | adams, niall m., | berthold, m.""","""berlin ; springer, c2010.""","""electronic books. | conference papers and proceedings.""",9783642130625,"""lecture notes in computer science ; 6065. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xiii, 260 p.)""",0.95
5440,5440,a942,b731,"""advances in data mining : applications and theoretical aspects : 9th industrial conference, icdm 2009, leipzig, germany, july 20-22, 2009 : proceedings""","""petra perner (ed.)""","""berlin ; new york : springer, 2009.""","""books""",9783642030673,"""lecture notes in computer science ; 5633,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""nan""","""advances in data mining : applications and theoretical aspects ; 9th industrial conference, icdm 2009, leipzig, germany, july 20-22, 2009 : proceedings""","""perner, petra.""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642030673,"""lecture notes in computer science ; 5633. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (xi, 402 pages)""",0.9523809523809523
5460,5460,a4679,b732,"""advances in intelligent data analysis viii : 8th international symposium on intelligent data analysis, ida 2009, lyon, france, august 31-september 2, 2009 : proceedings""","""niall m. adams ... [and others] (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""books""",9783642039157,"""lecture notes in computer science ; 5772,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""nan""","""advances in intelligent data analysis viii : 8th international symposium on intelligent data analysis, ida 2009, lyon, france, august 31 - september 2, 2009 ; proceedings""","""adams, niall m.,""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642039157,"""lecture notes in computer science ; 5772.""","""1 online resource (xiii, 418 p.)""",0.8
5463,5463,a5674,b733,"""methodologies for knowledge discovery and data mining: third pacific-asia conference, pakdd-99, beijing, china, april 1999 : proceedings""","""ning zhong, lizhi zhou, eds""","""berlin ; new york : springer, [1999] ©1999""","""books""",9783540658665,"""lecture notes in computer science ; 1574,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""nan""","""methodologies for knowledge discovery and data mining : third pacific-asia conference, pakdd-99, beijing, china, april 26-28, 1999 : proceedings""","""zhong, ning, | zhou, lizhi,""","""berlin ; springer, c1999.""","""electronic books.""",9783540489122,"""lecture notes in computer science ; 1574. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (xv, 533 p.)""",0.8421052631578947
5478,5478,a3517,b735,"""transactions on large-scale data- and knowledge centered systems vii""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin : springer, 2012.""","""books""",9783642353321,"""lecture notes in computer science ; 7720,""","""nan""","""transactions on large-scale data- and knowledge centered systems ix""","""hameurlain, abdelkader, | kã¼ng, josef, | wagner, roland r.,""","""heidelberg""","""electronic books.""",9783642400698,"""lecture notes in computer science ; 7980.""","""1 online resource (122 pages)""",0.8
5506,5506,a2349,b736,"""transactions on large-scale data- and knowledge -centered systems xxx : special issue on cloud computing""","""abdelkader hameurlain, josef küng, roland wagner, klaus-dieter schewe, karoly bosa (eds.)""","""berlin : springer, 2016. berlin : springer, 2016.""","""books""",9783662540541,"""lecture notes in computer science ; 10130,""","""nan""","""transactions on large-scale data- and knowledge -centered systems xxx : special issue on cloud computing""","""hameurlain, abdelkader, | kã¼ng, josef, | wagner, roland, | schewe, klaus-dieter, | bosa, karoly,""","""berlin""","""electronic books.""",9783662540541,"""lecture notes in computer science ; 10130.""","""1 online resource.""",1.0
5553,5553,a3925,b738,"""medical data analysis : second international symposium, ismda 2001, madrid, spain, october 8-9, 2001 : proceedings""","""jose crespo, victor maojo, fernando martin (eds.)""","""berlin ; new york : springer, [2001] ©2001""","""books""",9783540427346,"""lecture notes in computer science. 2199,""","""nan""","""medical data analysis : second international symposium, ismda 2001, madrid, spain, october 8-9, 2001 : proceedings""","""crespo, jose, | maojo, victor, | martin, fernando,""","""berlin ; springer, c2001.""","""electronic books. | conference proceedings.""",9783540454977,"""lecture notes in computer science ; 2199. 0302-9743""","""1 online resource (x, 311 p.)""",1.0
5554,5554,a2089,b739,"""traffic data collection and its standardization""","""jaume barceló, masao kuwahara, editors""","""new york ; london : springer, [2010] ©2010""","""books""",9781441960702,"""international series in operations research & management science ; 144,""","""nan""","""traffic data collection and its standardization""","""barcelã³, jaume. | kuwahara, masao.""","""new york""","""electronic books. | conference papers and proceedings.""",9781441960702,"""international series in operations research & management science ; 144.""","""1 online resource (xi, 194 pages)""",1.0
5555,5555,a16,b740,"""mobile data access : first international conference, mda'99, hong kong, china, december 16-17, 1999 : proceedings""","""hong va leong ... [and others] (eds.)""","""berlin ; new york : springer, [1999] ©1999""","""books""",9783540668787,"""lecture notes in computer science. 1748,""","""nan""","""mobile data access : first international conference, mda'99, hong kong, china, december 16-17, 1999 : proceedings""","""leong, hong va.""","""berlin ; springer, â©1999.""","""electronic books. | conference proceedings.""",9783540466697,"""lecture notes in computer science ; 1748.""","""1 online resource (x, 239 pages)""",1.0
5556,5556,a1477,b741,"""data and applications security xxiii : 23rd annual ifip wg 11.3 working conference, montreal, canada, july 12-15, 2009 : proceedings""","""ehud gudes, jaideep vaidya (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""books""",9783642030079,"""lecture notes in computer science ; 5645,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""nan""","""data and applications security xxiii : 23rd annual ifip wg 11.3 working conference, montreal, canada, july 12-15, 2009 ; proceedings""","""gudes, ehud. | vaidya, jaideep.""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642030079,"""lecture notes in computer science ; 5645.""","""1 online resource (xi, 314 pages)""",0.95
5565,5565,a3005,b745,"""methods for experimental design : principles and applications for physicists and chemists""","""jacques l. goupy""","""amsterdam ; new york : elsevier, 1993.""","""books""",9780444895295,"""data handling in science and technology ; v. 12,""","""nan""","""methods for experimental design : principles and applications for physicists and chemists""","""goupy, jacques l., 1934-""","""amsterdam ; elsevier, 1993.""","""electronic books.""",9780444895295,"""data handling in science and technology ; v. 12.""","""1 online resource (xvi, 449 p.)""",1.0
5566,5566,a3437,b745,"""methods for experimental design : principles and applications for physicists and chemists""","""jacques l. goupy""","""amsterdam ; new york : elsevier, 1993.""","""books""",9780444895295,"""data handling in science and technology ; v. 12,""","""nan""","""methods for experimental design : principles and applications for physicists and chemists""","""goupy, jacques l., 1934-""","""amsterdam ; elsevier, 1993.""","""electronic books.""",9780444895295,"""data handling in science and technology ; v. 12.""","""1 online resource (xvi, 449 p.)""",1.0
5568,5568,a2996,b747,"""principles of data mining and knowledge discovery : 5th european conference, pkdd 2001, freiburg, germany, september 3-5, 2001 : proceedings""","""luc de raedt, arno siebes (eds.)""","""berlin ; new york : springer, [2001] ©2001""","""books""",9783540425342,"""lecture notes in computer science ; 2168,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""nan""","""principles of data mining and knowledge discovery : 5th european conference, pkdd 2001, freiburg, germany, september 3-5, 2001 : proceedings""","""raedt, luc de, | siebes, arno,""","""berlin ; springer, c2001.""","""electronic books. | conference proceedings.""",9783540447948,"""lecture notes in computer science ; 2168. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (xviii, 510 p.)""",1.0
5573,5573,a5693,b748,"""rough sets, fuzzy sets, data mining and granular computing : 13th international conference, rsfdgrc 2011, moscow, russia, june 25-27, 2011 : proceedings""","""sergei o. kuznetsov ... [and others] (eds.)""","""berlin ; new york : springer, [2011] ©2011""","""books""",9783642218811,"""lecture notes in computer science ; 6743,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""nan""","""rough sets, fuzzy sets, data mining and granular computing : 13th international conference, rsfdgrc 2011, moscow, russia, june 25-27, 2011 : proceedings""","""kuznetsov, sergei o.""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642218811,"""lecture notes in computer science ; 6743. 0302-9743 lecture notes in computer science. lecture notes in artificial intelligence. lncs sublibrary. sl 7, artificial intelligence.""","""1 online resource (xiii, 370 pages)""",1.0
5574,5574,a3353,b749,"""financial cryptography and data security : 14th international conference, fc 2010, tenerife, canary islands, spain, january 25-28, 2010 : revised selected papers""","""radu sion (ed.)""","""berlin ; new york : springer, 2010.""","""books""",9783642145773,"""lecture notes in computer science ; 6052,lncs sublibrary. security and cryptology,""","""nan""","""financial cryptography and data security : fc 2010 workshops, rlcps, wecsr, and wlc 2010, tenerife, canaray islands, spain, january 25-28, 2010 : revised selected papers""","""sion, radu.""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642149924,"""lecture notes in computer science ; 6054. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (x, 255 p.)""",0.6538461538461539
5575,5575,a4425,b749,"""financial cryptography and data security : fc 2010 workshops, rlcps, wecsr, and wlc 2010, tenerife, canary islands, spain, january 25-28, 2010 : revised selected papers""","""radu sion ... [and others] (eds.)""","""berlin ; new york : springer, 2010.""","""books""",9783642149924,"""lecture notes in computer science ; 6054,lncs sublibrary. security and cryptology,""","""nan""","""financial cryptography and data security : fc 2010 workshops, rlcps, wecsr, and wlc 2010, tenerife, canaray islands, spain, january 25-28, 2010 : revised selected papers""","""sion, radu.""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642149924,"""lecture notes in computer science ; 6054. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (x, 255 p.)""",0.9130434782608695
5580,5580,a2517,b751,"""financial cryptography and data security : fc 2016, international workshops bitcoin, voting, and wahc, christ church, barbados, february 26, 2016, revised selected papers""","""jeremy clark, sarah meiklejohn, peter y.a. ryan, dan wallach, michael brenner, kurt rohloff (eds.)""","""berlin : springer, 2016.""","""books""",9783662533574,"""lecture notes in computer science ; 9604,lncs sublibrary. security and cryptology,""","""nan""","""financial cryptography and data security : fc 2016, international workshops bitcoin, voting, and wahc, christ church, barbados, february 26, 2016, revised selected papers""","""clark, jeremy, | meiklejohn, sarah, | ryan, peter, | wallach, dan, | brenner, michael, | rohloff, kurt,""","""berlin""","""electronic books. | conference papers and proceedings.""",9783662533574,"""lecture notes in computer science ; 9604. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource.""",1.0
5606,5606,a4949,b755,"""temporal, spatial, and spatio-temporal data mining : first international workshop, tsdm 2000, lyon, france, september 12, 2000 : revised papers""","""john f. roddick, kathleen hornsby (eds.)""","""berlin ; new york : springer, [2001] ©2001""","""books""",9783540417736,"""lecture notes in computer science ; 2007,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""nan""","""temporal, spatial, and spatio-temporal data mining : first international workshop, tsdm 2000, lyon, france, september 12, 2000 : revised papers""","""roddick, john f. | hornsby, kathleen.""","""berlin ; springer, 2001.""","""electronic books. | conference proceedings.""",9783540452447,"""lecture notes in computer science ; 2007. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (vi, 163 p.)""",1.0
5611,5611,a3077,b756,"""secure data management : 9th vldb workshop, sdm 2012, istanbul, turkey, august 27, 2012. proceedings""","""willem jonker, milan petković (eds.)""","""berlin ; new york : springer, [2012] ©2012""","""books""",9783642328732,"""lecture notes in computer science ; 7482,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""nan""","""secure data management : 9th vldb workshop, sdm 2012, istanbul, turkey, august 27, 2012. proceedings""","""jonker, willem, | petkoviä, milan.""","""berlin ; springer, â©2012.""","""electronic books. | conference papers and proceedings.""",9783642328732,"""lecture notes in computer science ; 7482. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource.""",1.0
5617,5617,a5250,b758,"""time-of-flight cameras : principles, methods and applications""","""miles hansard ... [and others]""","""london ; new york : springer, [2013] ©2013""","""books""",9781447146582,"""springerbriefs in computer science,""","""nan""","""time-of-flight cameras : principles, methods and applications""","""hansard, miles.""","""london ; springer, â©2013.""","""electronic books.""",9781447146582,"""springerbriefs in computer science.""","""1 online resource (x, 96 pages)""",1.0
5618,5618,a5221,b759,"""practical environmental statistics and data analysis""","""yue rong""","""hertfordshire, england ; glendale, arizona : ilm publications, 2011. ©2011""","""books""",9781906799274,"""advanced topics in environmental science,""","""nan""","""practical environmental statistics and data analysis""","""rong, yue,""","""glendale, az""","""nan""",9781906799045,"""nan""","""xxii, 269 p., [15] p. of plates""",1.0
5619,5619,a5271,b759,"""practical environmental statistics and data analysis""","""edited by yue rong""","""st albans, hertfordshire ; glendale, az : ilm publications, [2011] ©2011""","""books""",9781906799045,"""advanced topics in environmental science,""","""nan""","""practical environmental statistics and data analysis""","""rong, yue,""","""glendale, az""","""nan""",9781906799045,"""nan""","""xxii, 269 p., [15] p. of plates""",1.0
5656,5656,a5727,b763,"""handbook of research methods and applications in spatially integrated social science""","""edited by robert j. stimson""","""cheltenham, uk ; northampton, ma : edward elgar, [2014] ©2014""","""books""",9780857932969,"""handbooks of research methods and applications,""","""nan""","""handbook of research methods and applications in spatially integrated social science""","""stimson, r. j.""","""cheltenham""","""nan""",9780857932969,"""handbooks of research methods and applications.""","""xv, 663 pages""",1.0
5689,5689,a2488,b767,"""data mining in large sets of complex data""","""robson l. f. cordeiro, christos faloutsos, caetano traina júnior""","""london ; new york : springer, [2013] ©2013""","""books""",9781447148906,"""springerbriefs in computer science,""","""nan""","""data mining in large sets of complex data""","""cordeiro, robson l. f.""","""london""","""electronic books.""",9781447148906,"""springerbriefs in computer science.""","""1 online resource (xi, 116 pages)""",1.0
5715,5715,a4237,b773,"""principles of data mining and knowledge discovery : first european symposium, pkdd '97, trondheim, norway, june 24-27, 1997 : proceedings""","""jan komorowski, jan zytkow (eds.)""","""berlin ; new york : springer, [1997] ©1997""","""books""",9783540632238,"""lecture notes in computer science ; 1263,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""nan""","""principles of data mining and knowledge discovery : first european symposium, pkdd '97, trondheim, norway, june 24-27, 1997 : proceedings""","""komorowski, j. | å»ytkow, jan m.""","""berlin ; springer, c1997.""","""electronic books. | conference proceedings.""",9783540692362,"""lecture notes in computer science ; 1263. lecture notes in computer science. lecture notes in artificial intelligence.""","""1 online resource (ix, 396 p.)""",1.0
5718,5718,a257,b774,"""transactions on large-scale data- and knowledge-centered systems xxxv""","""abdelkader hameurlain, josef küng, roland wagner, sherif sakr, imran razzak, alshammari riyad (eds.)""","""berlin, germany : springer, 2017.""","""books""",9783662561218,"""lecture notes in computer science ; 10680,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5720,5720,a929,b774,"""transactions on large-scale data- and knowledge-centered systems i""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""books""",9783642037221,"""lecture notes in computer science ; 5740,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",1.0
5721,5721,a1384,b774,"""transactions on large-scale data- and knowledge-centered systems xxxvi""","""abdelkader hameurlain, josef küng, roland wagner, tran khanh dang, nam thoai (eds.)""","""berlin, germany : springer, 2017.""","""books""",9783662562666,"""lecture notes in computer science ; 10720,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5722,5722,a1559,b774,"""transactions on large-scale data- and knowledge-centered systems xiii""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""heidelberg : springer, 2013.""","""books""",9783642544262,"""lecture notes in computer science ; 8420,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5728,5728,a2518,b774,"""transactions on large-scale data- and knowledge-centered systems xiv""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin : springer, 2014.""","""books""",9783662457146,"""lecture notes in computer science ; 8800,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5731,5731,a3517,b774,"""transactions on large-scale data- and knowledge centered systems vii""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin : springer, 2012.""","""books""",9783642353321,"""lecture notes in computer science ; 7720,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.5454545454545454
5736,5736,a5067,b774,"""transactions on large-scale data- and knowledge-centered systems v""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin ; new york : springer, [2012] ©2012""","""books""",9783642281488,"""lecture notes in computer science ; 7100,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5738,5738,a5146,b774,"""transactions on large-scale data- and knowledge-centered systems xxv""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin : springer, 2016.""","""books""",9783662495346,"""lecture notes in computer science ; 9620,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5742,5742,a5591,b774,"""transactions on large-scale data- and knowledge-centered systems xxix""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""berlin, germany : springer, 2016.""","""books""",9783662540374,"""lecture notes in computer science ; 10120,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5743,5743,a5621,b774,"""transactions on large-scale data- and knowledge-centered systems xii""","""abdelkader hameurlain, josef küng, roland wagner (eds.)""","""heidelberg : springer, [2013] ©2013""","""books""",9783642453151,"""lecture notes in computer science ; 8320,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5744,5744,a5640,b774,"""transactions on large-scale data- and knowledge-centered systems xxxiii""","""abdelkader hameurlain, josef küng, roland wagner, reza akbarinia, esther pacitti (eds.)""","""berlin, germany : springer, 2017.""","""books""",9783662556962,"""lecture notes in computer science ; 10430,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5748,5748,a1791,b774,"""transactions on large-scale data- and knowledge-centered systems ii""","""abdelkader hameurlain ... [and others] (eds.)""","""berlin ; new york : springer, [2010] ©2010""","""books""",9783642161759,"""lecture notes in computer science ; 6380,""","""nan""","""transactions on large-scale data- and knowledge-centered systems i""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",0.7777777777777778
5758,5758,a3423,b775,"""database issues for data visualization : ieee visualization '95 workshop, atlanta, georgia, usa, october 28, 1995 : proceedings""","""andreas wierse, georges g. grinstein, ulrich lang, (eds.)""","""berlin ; new york : springer, [1996] ©1996""","""books""",9783540622215,"""lecture notes in computer science ; 1183,""","""nan""","""database issues for data visualization : ieee visualization '95 workshop, atlanta, georgia, usa, october 28, 1995 : proceedings""","""wierse, andreas. | grinstein, georges g. | lang, ulrich.""","""berlin ; springer, â©1996.""","""electronic books. | conference proceedings.""",9783540496816,"""lecture notes in computer science ; 1183. 0302-9743""","""1 online resource (xiv, 219 pages)""",1.0
5764,5764,a345,b776,"""data base techniques for pictorial applications, florence, june 20-22, 1979""","""hrsg. von a. blaser""","""berlin ; new york : springer-verlag, 1980.""","""books""",9780387097633,"""lecture notes in computer science ; 81,""","""nan""","""data base techniques for pictorial applications, florence, june 20-22, 1979""","""blaser, a.""","""berlin ; springer-verlag, 1980.""","""electronic books. | conference proceedings.""",9783540386513,"""lecture notes in computer science ; 81.""","""1 online resource (xi, 599 pages)""",1.0
5765,5765,a3556,b777,"""requirements engineering in the big data era : second asia pacific symposium, apres 2015, wuhan, china, october 18-20, 2015, proceedings""","""lin liu, mikio aoyama, (eds.)""","""heidelberg springer, [2015]""","""books""",9783662486344,"""communications in computer and information science ; 558,""","""nan""","""requirements engineering in the big data era : second asia pacific symposium, apres 2015, wuhan, china, october 18-20, 2015 : proceedings""","""liu, lin | aoyama, mikio,""","""heidelberg springer, [2015]""","""electronic books.""",9783662486344,"""communications in computer and information science ; 558.""","""1 online resource (xiv, 184 pages)""",0.95
5769,5769,a2935,b778,"""handbook on data envelopment analysis""","""william w. cooper, lawrence m. seiford, joe zhu, editors""","""second edition. new york : springer, [2011] ©2011""","""books""",9781441961518,"""international series in operations research & management science ; 164,""","""nan""","""handbook on data envelopment analysis""","""cooper, william w. | seiford, lawrence m. | zhu, joe,""","""new york""","""electronic books. | handbooks and manuals.""",9781441961518,"""international series in operations research & management science ; v.164.""","""1 online resource (xxv, 497 p.).""",1.0
5791,5791,a2942,b780,"""data-driven modelling of structured populations : a practical guide to the integral projection model""","""stephen p. ellner, dylan z. childs, mark rees""","""switzerland : springer, 2016.""","""books""",9783319288932,"""lecture notes on mathematical modelling in the life sciences,""","""nan""","""data-driven modelling of structured populations : a practical guide to the integral projection model""","""ellner, stephen p., 1953-""","""switzerland""","""electronic books.""",9783319288932,"""lecture notes on mathematical modelling in the life sciences.""","""1 online resource (xiii, 329 pages)""",1.0
5792,5792,a2740,b783,"""dynamic stochastic models from empirical data""","""r. l. kashyap, a. ramachandra rao""","""new york : academic press, 1976.""","""books""",9780124005501,"""mathematics in science and engineering ; v. 122,""","""nan""","""dynamic stochastic models from empirical data""","""kashyap, rangasami l. (rangasami laksminarayana), 1938-""","""new york""","""electronic books.""",9780124005501,"""mathematics in science and engineering ; v. 122.""","""1 online resource (xvi, 334 p.)""",1.0
