,ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
1721,a1721,"""Salsa dancing into the social sciences : research in an age of info-glut""","""Kristin Luker""","""Cambridge, Mass. : Harvard University Press, 2008.""","""Books""",9780674031579,"""nan""","""nan"""
1722,a1722,"""Data structures and algorithms with object-oriented design patterns in Java""","""Bruno R. Preiss""","""New York : John Wiley, [2000] ©2000""","""Books""",9780471346135,"""nan""","""nan"""
1723,a1723,"""Guide to OCR for Arabic scripts""","""Volker Märgner, Haikal El Abed, editors""","""London ; New York : Springer, [2012] ©2012""","""Books""",9781447140726,"""nan""","""nan"""
1724,a1724,"""Class and politics in contemporary social science : ""Marxism lite"" and its blind spot for culture""","""Dick Houtman ; translated by Sheila Gogol""","""New York : Aldine de Gruyter, [2003] ©2003""","""Books""",9780202306889,"""Sociological imagination and structural change,""","""nan"""
1725,a1725,"""Computer simulation of liquids""","""M.P. Allen and D.J. Tildesley""","""Oxford [England] : Clarendon Press ; New York : Oxford University Press, 1989, c1987.""","""Books""",9780198556459,"""Oxford science publications,""","""nan"""
1726,a1726,"""A structured programming approach to data""","""Derek Coleman""","""New York : Springer-Verlag, [1979] ©1979""","""Books""",9780387911380,"""nan""","""nan"""
1727,a1727,"""Visualization and data analysis 2010 : 18-19 January 2010, San Jose, California, United States""","""Jinah Park [and others], editors ; sponsored and published by IS & T-the Society of Imaging Science and Technology, [and] SPIE ; cosponsored by Hewlett-Packard Company (United States)""","""Bellingham, Wash. : SPIE, [2010] ©2010""","""Books""",9780819479235,"""Proceedings of Electronic Imaging Science and Technology,Proceedings of SPIE--the International Society for Optical Engineering ; v. 7530,""","""nan"""
1728,a1728,"""Mining graph data""","""edited by Diane J. Cook, Lawrence B. Holder""","""Hoboken, N.J. : Wiley-Interscience, [2007] ©2007""","""Books""",9780470073049,"""nan""","""nan"""
1729,a1729,"""Journal on data semantics X""","""Stefano Spaccapietra (ed.)""","""Berlin ; New York : Springer, [2008] ©2008""","""Books""",9783540776871,"""Lecture notes in computer science. 4900,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
1730,a1730,"""The GLIM system : release 4 manual""","""edited by Brian Francis, Mick Green, Clive Payne ; other contributing authors, Tony Swan ... [and others]""","""Oxford [England] : Clarendon Press ; New York : Oxford University Press, 1993.""","""Books""",9780198522317,"""Oxford science publications,""","""nan"""
1731,a1731,"""Air flow management in raised floor data centers""","""Vaibhav K. Arghode, Yogen Joshi""","""Cham : Springer, [2016]""","""Books""",9783319258928,"""SpringerBriefs in applied sciences and technology,""","""nan"""
1732,a1732,"""Big data benchmarking : 5th International Workshop, WBDB 2014, Potsdam, Germany, August 5-6- 2014, revised selected papers""","""Tilmann Rabl, Kai Sachs, Meikel Poess, Chaitanya Baru, Hans-Arno Jacobson (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319202334,"""Lecture notes in computer science ; 8991,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
1733,a1733,"""Intelligent Information and Database Systems : 9th Asian Conference, ACIIDS 2017, Kanazawa, Japan, April 3-5, 2017, Proceedings, Part II""","""edited by Ngoc Thanh Nguyen, Satoshi Tojo, Le Minh Nguyen, Bogdan Trawiński""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319544304,"""Lecture notes in computer science ; 10192,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,""","""nan"""
1734,a1734,"""Applied algebra, algebraic algorithms and error-correcting codes : 15th international symposium, AAECC-15, Toulouse, France, May 12-16, 2003 : proceedings""","""Marc Fossorier, Tom Høholdt, Alain Poli, eds""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540401117,"""Lecture notes in computer science. 2643,""","""nan"""
1735,a1735,"""The Ethical dimensions of the biological sciences""","""edited by Ruth Ellen Bulger, Elizabeth Heitman, and Stanley Joel Reiser""","""Cambridge ; New York : Cambridge University Press, 1993.""","""Books""",9780521434638,"""nan""","""nan"""
1736,a1736,"""Advances in data mining : applications and theoretical aspects : 10th industrial conference, ICDM 2010, Berlin, Germany, July 12-14, 2010 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642144004,"""Lecture notes in computer science ; 6171,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
1738,a1738,"""Computer models in the social sciences""","""R. B. Coats and A. Parkin""","""London : Edward Arnold, 1977.""","""Books""",9780713126303,"""nan""","""nan"""
1739,a1739,"""Design of computer data files""","""Owen Hanson""","""Rockville, Md., U.S.A. : Computer Science Press, [1982] ©1982""","""Books""",9780914894179,"""Computer software engineering series,""","""nan"""
1740,a1740,"""Empirical foundations of information and software science""","""edited by Jagdish C. Agrawal and Pranas Zunde""","""New York : Plenum Press, [1985] ©1985""","""Books""",9780306420917,"""nan""","""nan"""
1741,a1741,"""Hydrology and water resources of Africa""","""by Mamdouh Shahin""","""Dordrecht ; Boston : Kluwer Academic Publishers, [2002] ©2002""","""Books""",9781402008665,"""Water science and technology library ; v. 41,""","""nan"""
1742,a1742,"""The sourcebook for teaching science, grades 6-12 : strategies, activities, and instructional resources""","""Norman Herr""","""First edition. San Francisco, CA : Jossey-Bass, [2008] ©2008""","""Books""",9780787972981,"""Jossey-Bass teacher,""","""nan"""
1743,a1743,"""High performance computing in science and engineering '16 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2016""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319470665,"""nan""","""nan"""
1744,a1744,"""Applied spatial data analysis with R""","""Roger S. Bivand, Edzer Pebesma, Virgilio Gómez-Rubio""","""Second edition. New York, NY : Springer, [2013] ©2013""","""Books""",9781461476184,"""Use R!,""","""nan"""
1745,a1745,"""Stochastic partial differential equations for computer vision with uncertain data""","""Tobias Preusser, Robert M. Kirby, Torben Pätz""","""[San Rafael, California] : Morgan & Claypool, 2017. ©2017""","""Books""",9781681731445,"""Synthesis digital library of engineering and computer science,Synthesis lectures on visual computing ; # 28,""","""nan"""
1746,a1746,"""Database management: how much power is enough? : issues for librarians and information scientists : papers presented at the 1989 Clinic on Library Applications of Data Processing, April 2-4 1989""","""edited by Charles H. Davis""","""Urbana, Ill. : Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign, [1991] ©1991""","""Books""",9780878450824,"""nan""","""nan"""
1747,a1747,"""Algorithms and models for the web-graph : 6th international workshop, WAW 2009, Barcelona, Spain, February 12-13, 2009 : proceedings""","""Konstantin Avrachenkov, Debora Donato, Nelly Litvak (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783540959953,"""Lecture notes in computer science ; 5427,""","""nan"""
1748,a1748,"""Handbook of implementation science for psychology in education""","""edited by Barbara Kelly (University of Strathclyde), Daniel F. Perkins (The Pennsylvania State University)""","""Cambridge ; New York : Cambridge University Press, 2012.""","""Books""",9780521197250,"""nan""","""nan"""
1749,a1749,"""National land parcel data : a vision for the future""","""Committee on Land Parcel Database: A National Vision, Mapping Science Committee, Board on Earth Sciences and Resources, Division on Earth and Life Studies, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2007] ©2007""","""Books""",9780309110310,"""nan""","""nan"""
1750,a1750,"""Applied cryptography and network security : 14th International Conference, ACNS 2016, Guildford, UK, June 19-22, 2016. Proceedings""","""Mark Manulis, Ahmad-Reza Sadeghi, Steve Schneider (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319395555,"""Lecture notes in computer science ; 9696,LNCS sublibrary. Security and cryptology,""","""nan"""
1751,a1751,"""Natural language processing and Chinese computing : Third CCF Conference, NLPCC 2014, Shenzhen, China, December 5-9, 2014, proceedings""","""edited by Chengqing Zong, Jian-Yun Nie, Dongyan Zhao, Yansong Feng""","""Berlin : Springer, 2014.""","""Books""",9783662459249,"""Communications in computer and information science ; 496,""","""nan"""
1752,a1752,"""The soft X-ray cosmos : ROSAT Science Symposium, College Park, MD, November 1993""","""editors: Eric M. Schlegel, Robert Petre""","""New York : American Institute of Physics, 1994.""","""Books""",9781563963278,"""AIP conference proceedings ; no. 313,DOE publication CONF ; 9311209,""","""nan"""
1753,a1753,"""Advanced persistent threat hacking : the art and science of hacking any organization""","""Tyler Wrightson""","""New York : McGraw-Hill Education, [2015] ©2015""","""Books""",9780071828369,"""nan""","""nan"""
1755,a1755,"""Algorithms and data structures""","""Niklaus Wirth""","""Englewood Cliffs, N.J. : Prentice-Hall, [1986] ©1986""","""Books""",9780130220059,"""nan""","""nan"""
1757,a1757,"""Design of computer data files""","""Owen Hanson""","""Second edition. Rockville, MD : Computer Science Press, [1988] ©1988""","""Books""",9780716781974,"""Computer software engineering series ; 23,""","""nan"""
1758,a1758,"""Data mining techniques in grid computing environments""","""editor, Werner Dubitzky""","""Chichester, UK ; Hoboken, NJ : Wiley-Blackwell, 2008.""","""Books""",9780470699904,"""nan""","""nan"""
1759,a1759,"""Data science on the Google cloud platform : implementing end-to-end real-time data pipelines: from ingest to machine learning""","""Valliappa Lakshmanan""","""First edition. Sebastopol, CA : O'Reilly Media, 2018. ©2018""","""Books""",9781491974537,"""nan""","""nan"""
1760,a1760,"""Networking communication and data knowledge engineering. Volume 1""","""Gregorio Martinez Perez, Krishn K. Mishra, Shailesh Tiwari, Munesh C. Trivedi, editors""","""Singapore : Springer, c2018.""","""Books""",9789811045851,"""Lecture Notes on Data Engineering and Communications Technologies ; v. 3,""","""nan"""
1761,a1761,"""Using the American community survey for the National Science Foundation's science and engineering workforce statistics programs""","""Panel on Assessing the Benefits of the American Community Survey for the NSF Division of Resources Statistics, Committee on National Statistics, Division of Behavioral and Social Sciences Education, National Research Council of the National Academies""","""Washington, DC : National Academies Press, [2008] ©2008""","""Books""",9780309121545,"""nan""","""nan"""
1762,a1762,"""Architecture of distributed computer systems""","""Gregor v. Bochmann""","""Berlin ; New York : Springer-Verlag, [1979] ©1979""","""Books""",9780387097237,"""Lecture notes in computer science ; 77,""","""nan"""
1763,a1763,"""Process mining : discovery, conformance and enhancement of business processes""","""Wil M.P. van der Aalst""","""Berlin ; Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642193453,"""nan""","""nan"""
1764,a1764,"""Oracle Data Guard 11gR2 administration beginner's guide learn how to build and maintain Data Guard configurations with real-life, practical examples""","""Emre Baransel, Nassyam Basha""","""Birmingham : Packt Pub., 2013.""","""Books""",9781849687911,"""nan""","""nan"""
1765,a1765,"""Computers in business management : an introduction""","""James A. O'Brien""","""Fourth edition. Homewood, Ill. : R.D. Irwin, 1985.""","""Books""",9780256032116,"""Irwin series in information and decision sciences,""","""nan"""
1766,a1766,"""Organizational growth through decisionmaking; a computer-based experiment in educative method""","""Beatrice K. Rome and Sydney C. Rome""","""New York : American Elsevier Pub. Co., 1971.""","""Books""",9780444000958,"""Policy sciences book series,""","""nan"""
1767,a1767,"""Machine learning and data mining in pattern recognition : 13th International Conference, MLDM 2017, New York, NY, USA, July 15-20, 2017, Proceedings""","""Petra Perner (ed.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319624167,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10358,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
1768,a1768,"""The nature of computation : an introduction to computer science""","""Ira Pohl, Alan Shaw""","""Potomac, MD : Computer Science Press, [1981] ©1981""","""Books""",9780914894124,"""Computer software engineering series,""","""nan"""
1769,a1769,"""IBM DATA files : a BASIC tutorial""","""David Miller""","""Reston, Va. : Reston Pub. Co., [1983] ©1983""","""Books""",9780835930277,"""nan""","""nan"""
1770,a1770,"""Data Mining and Constraint Programming : Foundations of a Cross-Disciplinary Approach""","""edited by Christian Bessiere, Luc De Raedt, Lars Kotthoff, Siegfried Nijssen, Barry O'Sullivan, Dino Pedreschi""","""Cham : Springer International Publishing : Imprint: Springer, 2016.""","""Books""",9783319501376,"""Lecture notes in computer science ; 10101,""","""nan"""
1771,a1771,"""A companion to the philosophy of science""","""edited by W.H. Newton-Smith""","""Malden, Mass. : Blackwell Publishers, 2000.""","""Books""",9780631170242,"""Blackwell companions to philosophy ; 18,""","""nan"""
1772,a1772,"""Eclipse of the century""","""a production of WGBH Boston in association with BBC-TV for NOVA ; produced and written by Thomas Levenson ; directed by David Roberts""","""Boston, Mass. : WGBH, [1992] ©1992""","""Videos, Slides, Films""",9781884738258,"""NOVA: adventures in science,""","""nan"""
1773,a1773,"""Uncharted : big data as a lens on human culture""","""Erez Aiden and Jean-Baptiste Michel""","""New York, New York : Riverhead Books, 2013. ©2013""","""Books""",9781594487453,"""nan""","""nan"""
1774,a1774,"""Data abstraction and problem solving with C++ : walls and mirrors""","""Frank M. Carrano, Janet J. Prichard""","""Third edition. Boston : Addison-Wesley, [2002] ©2002""","""Books""",9780201741193,"""nan""","""nan"""
1775,a1775,"""Geostatistics, a colloquium; proceedings of a colloquium on geostatistics held on campus at the University of Kansas, Lawrence on 7-9, June 1970.""","""Edited by Daniel F. Merriam""","""New York : Plenum Press, 1970.""","""Books""",9780306305191,"""Computer applications in the earth sciences,""","""nan"""
1776,a1776,"""Soft computing in data science : third International Conference, SCDS 2017, Yogyakarta, Indonesia, November 27-28, 2017, Proceedings""","""Azlinah Mohamed, Michael W. Berry, Bee Wah Yap (eds.)""","""Singapore : Springer, 2017.""","""Books""",9789811072420,"""Communications in computer and information science ; 788,""","""nan"""
1777,a1777,"""Engineering tribology""","""J.A. Williams""","""Oxford ; New York : Oxford University Press, 1994.""","""Books""",9780198565031,"""nan""","""nan"""
1779,a1779,"""Graph-theoretic concepts in computer science : 15th international workshop WG '89, Castle Rolduc, The Netherlands, June 14-16, 1989 : proceedings""","""M. Nagl, ed""","""Berlin ; New York : Springer-Verlag, [1990] ©1990""","""Books""",9780387522920,"""Lecture notes in computer science ; 411,""","""nan"""
1781,a1781,"""Visual insights : a practical guide to making sense of data""","""Katy Börner & David E. Polley""","""Cambridge, Massachussetts : The MIT Press, [2014]""","""Books""",9780262526197,"""nan""","""nan"""
1782,a1782,"""Robust motion detection in real-life scenarios""","""Ester Martínez-Martín, Ángel P. del Pobil""","""London ; New York : Springer, [2012] ©2012""","""Books""",9781447142164,"""SpringerBriefs in computer science,""","""nan"""
1783,a1783,"""Dictionary of librarianship : including a selection from the terminology of information science, bibliology, reprography, and data processing : German-English, English-German""","""Eberhard Sauppe""","""Second revised and enlarged edition. München ; New York : K.G. Saur, 1996.""","""Books""",9783598113161,"""nan""","""nan"""
1784,a1784,"""The papers of the eighteenth SIGCSE technical symposium on computer science education""","""sponsored by the Association for Computing Machinery Special Interest Group on Computer Science Education ; edited by A.K. Rigler, D.C. St. Clair""","""New York : Association for Computing Machinery, 1987.""","""Books""",9780897912174,"""SIGCSE bulletin. v. 19, no. 1,""","""nan"""
1785,a1785,"""Automatic coding : choice of data structures""","""James Richard Low""","""Basel : Birkhäuser, 1976.""","""Books""",9783764308186,"""Interdisciplinary systems research ; 16,""","""nan"""
1786,a1786,"""Natural language processing technologies in artificial intelligence : the science and industry perspective""","""Klaus K. Obermeier""","""Halsted Press edition. Chichester, West Sussex, England : Ellis Horwood ; New York : Halsted Press, 1989.""","""Books""",9780745805627,"""Ellis Horwood series in artificial intelligence,""","""nan"""
1787,a1787,"""Data quality : the accuracy dimension""","""Jack E. Olson""","""San Francisco, Calif. : Morgan Kaufmann ; Oxford : Elsevier Science, 2003.""","""Books""",9781558608917,"""nan""","""nan"""
1788,a1788,"""Food additives data book""","""edited by Jim Smith and Lily Hong-Shum""","""Oxford : Blackwell Science, [2003] ©2003""","""Books""",9780632063956,"""nan""","""nan"""
1789,a1789,"""Exploratory data analysis with MATLAB""","""Wendy L. Martinez, Angel R. Martinez""","""Boca Raton : Chapman & Hall/CRC, [2005] ©2005""","""Books""",9781584883661,"""Series in computer science and data analysis,""","""nan"""
1790,a1790,"""Data collection in context""","""by Stephen Ackroyd and John A. Hughes""","""Second edition. London ; New York : Longman, 1992.""","""Books""",9780582053113,"""Aspects of modern sociology. Social research,Longman social research series,""","""nan"""
1791,a1791,"""Transactions on large-scale data- and knowledge-centered systems II""","""Abdelkader Hameurlain ... [and others] (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642161759,"""Lecture notes in computer science ; 6380,""","""nan"""
1792,a1792,"""Advanced computing : first International Conference on Computer Science and Information Technology, CCSIT 2011 Bangalore, India, January 2-4, 2011 : proceedings. Part III""","""Natarajan Meghanathan, Brajesh Kumar Kaushik, Dhinaharan Nagamalai (eds.)""","""Berlin : Springer, 2011.""","""Books""",9783642178818,"""Communications in computer and information science ; 133,""","""nan"""
1793,a1793,"""International Conference of Computational Methods in Sciences and Engineering 2016 : (ICCMSE 2016) : conference date, 17-20 March 2016 : location, Athens, Greece""","""editors, Theodore E. Simos, Zacharoula Kalogiratou and Theodore Monovasilis""","""[Melville, New York] : AIP Publishing, 2016. ©2016""","""Books""",9780735414549,"""AIP conference proceedings ; no. 1790,""","""nan"""
1795,a1795,"""Keyword search in databases""","""Jeffrey Xu Yu, Lu Qin, and Lijun Chang""","""[San Rafael, Calif.] : Morgan & Claypool, [2010] ©2010""","""Books""",9781608451968,"""Synthesis lectures on data management ; #1,""","""nan"""
1796,a1796,"""Semantic web-based intelligent geospatial web services""","""Peng Yue""","""New York, NY : Springer, 2013.""","""Books""",9781461468097,"""SpringerBriefs in computer science,""","""nan"""
1797,a1797,"""Survey analysis for indigenous policy in Australia : social science perspectives""","""Boyd Hunter and Nicholas Biddle (editors)""","""Canberra, Australia : Australian National University, 2012. ©2012""","""Books""",9781922144195,"""Research Monograph ; Number 32,Centre for Aboriginal Economic Policy Research (CAEPR),""","""nan"""
1798,a1798,"""Journal on data semantics XIII""","""Stefano Spaccapietra, Esteban Zimányi, Il-Yeol Song (eds.)""","""Berlin ; New York : Springer, 2009.""","""Books""",9783642030970,"""Lecture notes in computer science ; 5530,""","""nan"""
1800,a1800,"""Geographic information systems & science""","""Paul A. Longley ... [and others]""","""Third edition. Hoboken, NJ : Wiley, [2011] ©2011""","""Books""",9780470721452,"""nan""","""nan"""
1801,a1801,"""Computational methods in science and engineering : advances in computational science : lectures presented at the International Conference on Computational Methods in Sciences and Engineering 2008 (ICCMSE 2008) : Heraklion, Crete (Greece). 25-30 September 2008""","""editor(s): George Maroulis, Theodore E. Simos""","""[Melville, N.Y.] : American Institute of Physics , 2009.""","""Books""",9780735406445,"""AIP conference proceedings (Online) ; v. 1108,""","""nan"""
1803,a1803,"""Scientific computing with Mathematica : mathematical problems for ordinary differential equations""","""Addolorata Marasco, Antonio Romano""","""Boston : Birkhäuser, [2001] ©2001""","""Books""",9780817642051,"""Modeling and simulation in science, engineering & technology,""","""nan"""
1804,a1804,"""The learning leader : how to focus school improvement for better results""","""Douglas B. Reeves""","""Alexandria, VA : Association for Supervision and Curriculum Development, [2006] ©2006""","""Books""",9781416603320,"""nan""","""nan"""
1805,a1805,"""Handbook of environmental data and ecological parameters""","""editor-in-chief, S. E. Jørgensen""","""First edition. Oxford ; New York : Distributed for the International Society for Ecological Modelling by Pergamon Press, 1979.""","""Books""",9780080234366,"""Environmental sciences and applications ; v. 6,""","""nan"""
1807,a1807,"""Symbolic and numerical scientific computation : second international conference, SNSC 2001, Hagenberg, Austria, September 12-14, 2001 : revised papers""","""Franz Winkler, Ulrich Langer (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540405542,"""Lecture notes in computer science. 2630,""","""nan"""
1808,a1808,"""Processing data : the survey example""","""Linda B. Bourque, Virginia A. Clark""","""Newbury Park, Calif. : Sage, [1992] ©1992""","""Books""",9780803947412,"""Quantitative applications in the social sciences ; 85,""","""nan"""
1809,a1809,"""Statistical methods for food science introductory procedures for the food practitioner""","""John A. Bower""","""2nd ed. Chichester, West Sussex, UK ; Hoboken, NJ : Wiley-Blackwell, 2013.""","""Books""",9781118541623,"""nan""","""nan"""
1810,a1810,"""1999 IEEE Radiation Effects Data Workshop : NSREC 99 : held in conjunction with the IEEE Nuclear and Space Radiation Effects Conference : 12-16 July, 1999, Norfolk, Virginia""","""IEEE Nuclear and Plasma Sciences Society, the Institute of Electrical and Electronics Engineers, Inc""","""Piscataway, N.J. : The Institute of Electrical and Electronics Engineers, Inc., [1999] ©1999""","""Books""",9780780356603,"""nan""","""nan"""
1811,a1811,"""Discrete structures and algorithms : proceedings of the workshop WG 79, 5. Conference on Graphtheoret. Concepts in Computer Science, June 21-23, 1979, Berlin (West), Germany""","""edited by Uwe Pape""","""München ; Wien : Hanser, 1980.""","""Books""",9783446131354,"""nan""","""nan"""
1812,a1812,"""Advances in database technologies : ER '98 Workshops on Data Warehousing and Data Mining, Mobile Data Access, and Collaborative Work Support and Spatio-Temporal Data Management, Singapore, November 19-20, 1998 : proceedings""","""Yahiko Kambayashi ... [and others]""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540656906,"""Lecture notes in computer science ; 1552,""","""nan"""
1813,a1813,"""SPSS 12.0 guide to data analysis""","""Marija J. Norušis""","""Upper Saddle River, N.J. : Prentice Hall, 2004.""","""Books""",9780131478862,"""nan""","""nan"""
1814,a1814,"""Efficient usage of adabas replication : a practical solution finder""","""Dieter W. Storr ; edited by Stephen Fedtke""","""Wiesbaden : Vieweg+Teubner Verlag, [2011] ©2011""","""Books""",9783834882141,"""nan""","""nan"""
1815,a1815,"""Advanced methods of data analysis""","""B.S. Everitt and G. Dunn""","""London ; Exeter, N.H. : Heinemann Educational Books, 1983.""","""Books""",9780435822958,"""nan""","""nan"""
1816,a1816,"""Visual cues : practical data visualization""","""Peter R. Keller, Mary M. Keller""","""Los Alamitos, CA : IEEE Computer Society Press ; Piscataway, NJ : IEEE Press, [1993] ©1993""","""Books""",9780818631023,"""nan""","""nan"""
1817,a1817,"""Data structures, files and databases""","""Carl Bamford and Paul Curran""","""Houndmills, Basingstoke, Hampshire : Macmillan Education, 1987.""","""Books""",9780333436899,"""Macmillan computer science series,""","""nan"""
1818,a1818,"""Ecotoxicity of chemicals to amphibians""","""edited by J. Devillers and J.M. Exbrayat""","""Philadelphia : Gordon and Breach Science Publishers, [1992] ©1992""","""Books""",9782881248726,"""Handbooks of ecotoxicological data ; v. 1,""","""nan"""
1819,a1819,"""Geospatial semantics and the semantic web : foundations, algorithms, and applications""","""Naveen Ashish, Amit P. Sheth, editors""","""New York : Springer Science, 2011.""","""Books""",9781441994455,"""Semantic web and beyond,""","""nan"""
1820,a1820,"""Data warehousing and knowledge discovery : 12th international conference, DaWaK 2010, Bilbao, Spain, August/September 2010 : proceedings""","""Torben Bach Pedersen, Mukesh K. Mohania, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642151057,"""Lecture notes in computer science ; 6263,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
1821,a1821,"""Information hiding : 5th international workshop, IH 2002, Noordwijkerhout, the Netherlands, October 7-9, 2002 : revised papers""","""Fabien A.P. Petitcolas (ed.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540004219,"""Lecture notes in computer science ; 2578,""","""nan"""
1822,a1822,"""Data analysis and the social sciences""","""edited by David McKay, Norman Schofield and Paul Whiteley""","""London : F. Pinter, 1983.""","""Books""",9780861872176,"""nan""","""nan"""
1823,a1823,"""Proceedings of the 1989 ACM SIGMOD International Conference on the Management of Data, Portland, Oregon""","""editors: James Clifford, Bruce Lindsay and David Maier""","""New York : Association for Computing Machinery, [1989] ©1989""","""Books""",9780897913171,"""SIGMOD record. v. 18, no. 2 (June 1989),""","""nan"""
1824,a1824,"""Data management in grids : first VLDB Workshop, DMG 2005, Trondheim, Norway, September 2-3, 2005 : revised selected papers""","""Jean-Marc Pierson (ed.)""","""Berlin ; New York : Springer-Verlag, [2005] ©2005""","""Books""",9783540312123,"""Lecture notes in computer science ; 3836,""","""nan"""
1825,a1825,"""Data abstraction and object-oriented programming in C₊₊""","""Keith E. Gorlen, Sanford M. Orlow, Perry S. Plexico""","""Stuttgart : B.G. Teeubner ; Chichester ; New York : J. Wiley, 1990.""","""Books""",9780471923466,"""nan""","""nan"""
1826,a1826,"""DCC '93 : Data Compression Conference""","""edited by James A. Storer, Martin Cohn ; sponsored by the IEEE Computer Society Technical Committee on Computer Communications in cooperation with NASA/CESDIS""","""Los Alamitos, Calif. : IEEE Computer Society Press, [1993] ©1993""","""Books""",9780818633911,"""nan""","""nan"""
1827,a1827,"""Pulse : the new science of harnessing internet buzz to track threats and opportunities""","""Douglas W. Hubbard""","""Hoboken, N.J. : Wiley, [2011] ©2011""","""Books""",9780470932360,"""nan""","""nan"""
1828,a1828,"""Analysis of qualitative data. Volume 2, New developments""","""Shelby J. Haberman, Department of Statistics, University of Chicago, Chicago, Illinois""","""New York : Academic Press, a subsidiary of Harcourt Brace Jovanovich, Publishers, 1979.""","""Books""",9781483294353,"""nan""","""nan"""
1829,a1829,"""Linking data""","""Nigel G. Fielding, Jane L. Fielding""","""Beverly Hills : Sage Publications, [1986] ©1986""","""Books""",9780803925182,"""Qualitative research methods ; v. 4,""","""nan"""
1831,a1831,"""Statistics for engineering and computer sciences""","""William Mendenhall, Terry Sincich""","""San Francisco : Dellen Pub. Co., [1984] ©1984""","""Books""",9780895170545,"""nan""","""nan"""
1832,a1832,"""Social science research : a cross section of journal articles for discussion and evaluation""","""edited by Robert F. Szafran""","""Los Angeles, CA : Pyrczak Pub., [1994] ©1994""","""Books""",9780962374487,"""nan""","""nan"""
1833,a1833,"""Attosecond nanophysics : from basic science to applications""","""edited by Peter Hommelhoff, Matthias F. Kling""","""Weinheim : Wiley-VCH, 2014.""","""Books""",9783527665624,"""nan""","""nan"""
1834,a1834,"""Fast software encryption : 13th international workshop, FSE 2006, Graz, Austria, March 15-17, 2006 : revised selected papers""","""Matthew Robshaw (ed.)""","""Berlin ; New York : Springer, [2006] ©2006""","""Books""",9783540365976,"""Lecture notes in computer science. 4047,""","""nan"""
1835,a1835,"""Elements of spatial data quality""","""edited by Stephen C. Guptill and Joel L. Morrison""","""First edition. Oxford, UK ; Tarrytown, N.Y. : Elsevier Science, [1995] ©1995""","""Books""",9780080424323,"""nan""","""nan"""
1837,a1837,"""Data mining methods for knowledge discovery""","""by Krzysztof J. Cios, Witold Pedrycz, Roman W. Swiniarski""","""Boston : Kluwer Academic, [1998] ©1998""","""Books""",9780792382522,"""Kluwer international series in engineering and computer science ; SECS 458,""","""nan"""
1839,a1839,"""Decision making and medical care : can information science help? : Proceedings of the IFIP Working Conference on Decision Making and Medical Care""","""edited by F. T. De Dombal and F. Grémy, associate editors, J. Horrocks ... [and others]""","""Amsterdam ; New York : North-Holland Pub. Co., 1976.""","""Books""",9780720404647,"""nan""","""nan"""
1840,a1840,"""Energy--forecasting, data, and conservation""","""Transportation Research Board, Commission on Sociotechnical Systems, National Research Council""","""Washington, D.C. : National Academy of Sciences, 1981.""","""Books""",9780309032155,"""Transportation research record. 801,""","""nan"""
1841,a1841,"""Data analysis and presentation skills : an introduction for the life and medical sciences""","""Jackie Willis""","""Chichester, West Sussex, England ; Hoboken, NJ : Wiley, [2004] ©2004""","""Books""",9780470852736,"""nan""","""nan"""
1842,a1842,"""Distributed computing : 15th International Conference, DISC 2001, Lisbon, Portugal, October 3-5, 2001 : proceedings""","""Jennifer Welch (ed.)""","""Berlin ; New York : Springer, [2001] ©2001""","""Books""",9783540426059,"""Lecture notes in computer science. 2180,""","""nan"""
